id,name,file,offset
0,im.actor.sdk.controllers.activity.BaseActivity,actor-sdk/sdk-core-android/android-sdk/src/main/java/im/actor/sdk/controllers/activity/BaseActivity.java,1057
1,im.actor.core.modules.messaging.actions.SenderActor,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/actions/SenderActor.java,2693
2,im.actor.core.network.Endpoints,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/network/Endpoints.java,408
3,im.actor.core.entity.content.DocumentContent,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/content/DocumentContent.java,527
4,im.actor.core.api.ApiGroupType,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiGroupType.java,127
5,im.actor.runtime.clc.Cursor,actor-sdk/sdk-core/runtime/runtime-clc/src/main/java/im/actor/runtime/clc/Cursor.java,147
6,im.actor.core.entity.User,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/User.java,940
7,im.actor.core.modules.settings.SettingsModule,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/settings/SettingsModule.java,431
8,im.actor.core.modules.external.ExternalModule,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/external/ExternalModule.java,1000
9,im.actor.core.api.ApiPeer,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiPeer.java,471
10,im.actor.core.js.modules.JsBindingModule,actor-sdk/sdk-core/core/core-js/src/main/java/im/actor/core/js/modules/JsBindingModule.java,2484
11,im.actor.core.entity.Sex,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Sex.java,168
12,im.actor.core.modules.messaging.router.RouterActor,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/router/RouterActor.java,4030
13,im.actor.core.entity.Message,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Message.java,516
14,im.actor.sdk.controllers.auth.BaseAuthFragment,actor-sdk/sdk-core-android/android-sdk/src/main/java/im/actor/sdk/controllers/auth/BaseAuthFragment.java,1258
15,im.actor.core.modules.search.SearchModule,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/search/SearchModule.java,1636
16,im.actor.core.entity.Dialog,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Dialog.java,653
17,im.actor.core.entity.Group,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Group.java,833
18,im.actor.core.Messenger,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/Messenger.java,3068
19,im.actor.core.modules.groups.GroupsModule,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/groups/GroupsModule.java,3054
20,im.actor.core.modules.messaging.MessagesProcessor,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesProcessor.java,1609
21,im.actor.core.viewmodel.GroupVM,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/viewmodel/GroupVM.java,939
22,im.actor.sdk.controllers.conversation.messages.content.ContactHolder,actor-sdk/sdk-core-android/android-sdk/src/main/java/im/actor/sdk/controllers/conversation/messages/content/ContactHolder.java,1304
23,im.actor.core.modules.ModuleActor,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/ModuleActor.java,1395
