id,name,file,offset,containing_class_id,target_ids
0,im.actor.core.js.modules.JsBindingModule.checkAvatar,actor-sdk/sdk-core/core/core-js/src/main/java/im/actor/core/js/modules/JsBindingModule.java,24827,10,57
1,im.actor.core.js.JsMessenger.getSmallAvatarUrl,actor-sdk/sdk-core/core/core-js/src/main/java/im/actor/core/js/JsMessenger.java,10747,61,57
2,im.actor.core.i18n.I18nEngine.formatDialogText,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/i18n/I18nEngine.java,6951,45,16
3,im.actor.core.i18n.I18nEngine.isLargeDialogMessage,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/i18n/I18nEngine.java,8038,45,70
4,im.actor.core.modules.api.ApiModule.changeEndpoints,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/api/ApiModule.java,3823,36,2
5,im.actor.core.modules.calls.peers.CallBusActor.sendSignal,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/calls/peers/CallBusActor.java,8844,39,49
6,im.actor.core.modules.calls.CallsModule.makeCall,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/calls/CallsModule.java,1601,59,62
7,im.actor.core.modules.users.router.UserRouter.onUserDescChanged,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/users/router/UserRouter.java,12801,52,6
8,im.actor.core.modules.groups.GroupsModule.createGroup,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/groups/GroupsModule.java,5050,19,4
9,im.actor.core.modules.groups.GroupsModule.saveAdminSettings,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/groups/GroupsModule.java,13036,19,44
10,im.actor.core.modules.search.SearchModule.findMessages,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/search/SearchModule.java,3429,15,27
11,im.actor.core.modules.external.ExternalModule.rawRequestCommand,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/external/ExternalModule.java,2939,8,32
12,im.actor.core.modules.external.ExternalModule.rawPersistentRequest,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/external/ExternalModule.java,3478,8,32
13,im.actor.core.modules.sequence.internal.CombinedDifference.putMessage,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/sequence/internal/CombinedDifference.java,1112,65,71
14,im.actor.core.modules.sequence.internal.CombinedDifference.put,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/sequence/internal/CombinedDifference.java,2284,65,62
15,im.actor.core.modules.sequence.Updates.applyUpdate,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/sequence/Updates.java,2514,29,38
16,im.actor.core.modules.sequence.Updates.applyRelatedData,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/sequence/Updates.java,3587,29,38
17,im.actor.core.modules.settings.SettingsModule.getChatKey,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/settings/SettingsModule.java,14509,7,62
18,im.actor.core.modules.conductor.DisplayLists.buildChatList,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/conductor/DisplayLists.java,2772,74,62
19,im.actor.core.modules.conductor.DisplayLists.buildChatDocsList,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/conductor/DisplayLists.java,3347,74,62
20,im.actor.core.modules.messaging.router.RouterInt.onNewMessage,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/router/RouterInt.java,2939,42,62 13
21,im.actor.core.modules.messaging.router.RouterInt.onUserChanged,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/router/RouterInt.java,4402,42,6
22,im.actor.core.modules.messaging.router.RouterInt.onGroupChanged,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/router/RouterInt.java,4575,42,17
23,im.actor.core.modules.messaging.router.RouterActor.onChatDropCache,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/router/RouterActor.java,19873,12,62
24,im.actor.core.modules.messaging.router.RouterActor.conversation,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/router/RouterActor.java,26362,12,62
25,im.actor.core.modules.messaging.router.RouterActor.isValidPeer,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/router/RouterActor.java,27886,12,62
26,im.actor.core.modules.messaging.actions.SenderActor.performSendApiContent,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/actions/SenderActor.java,20439,1,51 62
27,im.actor.core.modules.messaging.dialogs.DialogsActor.updateSearch,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/dialogs/DialogsActor.java,11493,53,16
28,im.actor.core.modules.messaging.MessagesModule.sendMessage,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,8590,67,62
29,im.actor.core.modules.messaging.MessagesModule.sendPhoto,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,9249,67,62 35
30,im.actor.core.modules.messaging.MessagesModule.sendAnimation,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,9665,67,62 35
31,im.actor.core.modules.messaging.MessagesModule.sendVideo,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,10093,67,62 35
32,im.actor.core.modules.messaging.MessagesModule.sendAudio,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,10480,67,62
33,im.actor.core.modules.messaging.MessagesModule.sendDocument,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,11360,67,62 35
34,im.actor.core.modules.messaging.MessagesModule.updateMessage,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,11754,67,62
35,im.actor.core.modules.messaging.MessagesModule.saveDraft,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,14169,67,62
36,im.actor.core.modules.messaging.MessagesModule.loadDraft,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,14322,67,62
37,im.actor.core.modules.messaging.MessagesModule.addReaction,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,14577,67,62
38,im.actor.core.modules.messaging.MessagesModule.removeReaction,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,15326,67,62
39,im.actor.core.modules.messaging.MessagesModule.favoriteChat,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,16117,67,62
40,im.actor.core.modules.messaging.MessagesModule.unfavoriteChat,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/messaging/MessagesModule.java,16620,67,62
