id,name,file,offset,original_class_id,target_class_id
0,im.actor.core.entity.Avatar.checkAvatar,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Avatar.java,3628,10,57
2,im.actor.core.entity.Dialog.formatDialogText,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Dialog.java,7344,45,16
4,im.actor.core.network.Endpoints.changeEndpoints,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/network/Endpoints.java,3544,36,2
5,im.actor.core.api.ApiWebRTCSignaling.sendSignal,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiWebRTCSignaling.java,2190,39,49
6,im.actor.core.entity.Peer.makeCall,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Peer.java,3730,59,62
7,im.actor.core.entity.User.onUserDescChanged,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/User.java,15526,52,6
8,im.actor.core.api.ApiGroupType.createGroup,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiGroupType.java,995,19,4
10,im.actor.core.api.ApiSearchCondition.findMessages,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiSearchCondition.java,2137,15,27
11,im.actor.core.api.ApiRawValue.rawRequestCommand,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiRawValue.java,1899,8,32
13,im.actor.core.api.updates.UpdateMessage.putMessage,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/updates/UpdateMessage.java,3798,65,71
15,im.actor.core.api.ApiGroup.applyUpdate,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiGroup.java,5375,29,38
20,im.actor.core.entity.Message.onNewMessage,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Message.java,5304,42,13
26,im.actor.core.api.ApiMessage.performSendApiContent,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiMessage.java,2268,1,51
29,im.actor.core.entity.content.FastThumb.sendPhoto,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/content/FastThumb.java,1180,67,35
45,im.actor.core.api.ApiPeer.onDifferenceMessages,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/api/ApiPeer.java,1922,20,9
46,im.actor.core.modules.encryption.entity.UserKeysGroup.addUserKeyGroup,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/encryption/entity/UserKeysGroup.java,2878,30,43
48,im.actor.core.modules.encryption.session.EncryptedSessionChain.decryptOther,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/modules/encryption/session/EncryptedSessionChain.java,5283,55,28
60,im.actor.runtime.clc.Cursor.loadSlice,actor-sdk/sdk-core/runtime/runtime-clc/src/main/java/im/actor/runtime/clc/Cursor.java,2754,31,5
61,im.actor.core.entity.Sticker.onStickerClicked,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Sticker.java,3489,33,63
63,im.actor.core.entity.Sex.signUp,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/Sex.java,1123,14,11
64,im.actor.core.viewmodel.GroupVM.onMemberClick,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/viewmodel/GroupVM.java,20142,37,21
66,im.actor.sdk.controllers.pickers.file.ExploreItemViewHolder.bindImage,actor-sdk/sdk-core-android/android-sdk/src/main/java/im/actor/sdk/controllers/pickers/file/ExploreItemViewHolder.java,2079,64,25
68,im.actor.core.entity.PhoneBookContact.onItemClicked,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/PhoneBookContact.java,3337,34,72
72,im.actor.sdk.controllers.settings.ActorSettingsField.addField,actor-sdk/sdk-core-android/android-sdk/src/main/java/im/actor/sdk/controllers/settings/ActorSettingsField.java,2694,48,73
74,im.actor.core.entity.content.DocumentContent.playVideo,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/content/DocumentContent.java,3597,50,3
75,im.actor.core.entity.content.ContactContent.convertPhoto,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/content/ContactContent.java,3293,22,66
76,im.actor.core.entity.content.AbsContent.getMatchId,actor-sdk/sdk-core/core/core-shared/src/main/java/im/actor/core/entity/content/AbsContent.java,9315,56,69
