id,name,file,offset,containing_class_id,target_ids
0,com.example.android.unsplash.MainActivity.getActivityOptions,atlas-demo/multi-feature-module/main/src/main/java/com/example/android/unsplash/MainActivity.java,8228,12,64
1,com.taobao.atlas.dexmerge.dx.merge.DexMerger.getMethodIdIndex,atlas-update/src/main/java/com/taobao/atlas/dexmerge/dx/merge/DexMerger.java,34599,60,35
2,com.taobao.atlas.dexmerge.dx.merge.DexTransform.initMethodsMaps,atlas-update/src/main/java/com/taobao/atlas/dexmerge/dx/merge/DexTransform.java,8122,46,0
3,com.taobao.android.dx.cf.code.Frame.makeInitialized,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/cf/code/Frame.java,3552,33,41
4,com.taobao.android.dx.cf.code.Frame.initializeWithParameters,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/cf/code/Frame.java,4755,33,38
5,com.taobao.android.dx.cf.code.Frame.mergeSubroutineLists,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/cf/code/Frame.java,7593,33,15
6,com.taobao.android.dx.cf.code.Frame.makeExceptionHandlerStartFrame,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/cf/code/Frame.java,13615,33,28
7,com.taobao.android.dx.cf.code.Frame.annotate,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/cf/code/Frame.java,14088,33,42
8,com.taobao.android.dx.cf.code.Ropper.filterMoveReturnAddressInsns,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/cf/code/Ropper.java,61279,53,66
9,com.taobao.android.dx.dex.code.InsnFormat.listingString,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/dex/code/InsnFormat.java,1754,24,30
10,com.taobao.android.dx.dex.code.TargetInsn.withNewTargetAndReversed,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/dex/code/TargetInsn.java,2169,58,44
11,com.taobao.android.dx.dex.file.Statistics.addAll,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/dex/file/Statistics.java,1513,54,20
12,com.taobao.android.dx.dex.file.TypeIdsSection.indexOf,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/dex/file/TypeIdsSection.java,4864,55,28
13,com.taobao.android.dx.dex.file.StringIdsSection.intern,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/dex/file/StringIdsSection.java,3908,21,59
14,com.taobao.android.dx.rop.cst.StdConstantPool.set,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/rop/cst/StdConstantPool.java,2752,48,11
15,com.taobao.android.dx.rop.code.RegisterSpec.equals,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/rop/code/RegisterSpec.java,7549,19,31
16,com.taobao.android.dx.rop.code.RegisterSpec.withLocalItem,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/rop/code/RegisterSpec.java,17585,19,31
17,com.taobao.android.dx.rop.code.BasicBlockList.preferredSuccessorOf,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/rop/code/BasicBlockList.java,6323,57,1
18,com.taobao.android.dx.rop.code.BasicBlockList.catchesEqual,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/rop/code/BasicBlockList.java,7369,57,1
19,com.taobao.android.dx.rop.code.DexTranslationAdvice.totalRopWidth,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/rop/code/DexTranslationAdvice.java,3763,43,47
20,com.taobao.android.dx.ssa.back.SsaToRop.verifyValidExitPredecessor,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/ssa/back/SsaToRop.java,9265,17,61
21,com.taobao.android.dx.ssa.back.FirstFitAllocator.paramNumberFromMoveParam,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/ssa/back/FirstFitAllocator.java,4511,51,25
22,com.taobao.android.dx.ssa.SsaMethod.isRegALocal,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/ssa/SsaMethod.java,20212,36,19
23,com.taobao.android.dx.ssa.RegisterMapper.map,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/ssa/RegisterMapper.java,1507,5,47
24,com.taobao.android.dx.ssa.RegisterMapper.map,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/ssa/RegisterMapper.java,2075,5,65
25,com.taobao.android.dx.ssa.MoveParamCombiner.getParamIndex,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/ssa/MoveParamCombiner.java,4740,29,25
26,com.taobao.android.dx.ssa.InterferenceRegisterMapper.areAnyPinned,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/ssa/InterferenceRegisterMapper.java,4499,7,47
27,com.taobao.android.dx.command.grep.Grep.getStringIds,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/command/grep/Grep.java,3865,18,2
28,com.taobao.android.dx.command.findusages.FindUsages.getFieldIds,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/command/findusages/FindUsages.java,5681,56,2
29,com.taobao.android.dx.command.findusages.FindUsages.findAssignableTypes,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/command/findusages/FindUsages.java,6993,56,2
30,com.taobao.android.tools.TPatchTool.getBundleFileMappingMd5,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/tools/TPatchTool.java,43488,32,3
31,com.taobao.android.object.DexDiffInfo.save,atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/object/DexDiffInfo.java,31170,6,13
32,android.content.res.chunk.types.StartTag.insertOrReplaceAttribute,atlas-gradle-plugin/dexpatch/src/main/java/android/content/res/chunk/types/StartTag.java,13984,23,45
33,android.content.res.chunk.types.NameSpace.toString,atlas-gradle-plugin/dexpatch/src/main/java/android/content/res/chunk/types/NameSpace.java,13436,39,40
34,android.content.res.AXMLResource.injectApplicationAttribute,atlas-gradle-plugin/dexpatch/src/main/java/android/content/res/AXMLResource.java,13059,67,45
35,com.taobao.android.builder.tasks.app.prepare.PrepareBundleInfoTask.collectBundleInfo,atlas-gradle-plugin/atlas-plugin/src/main/java/com/taobao/android/builder/tasks/app/prepare/PrepareBundleInfoTask.java,14635,52,16
36,com.taobao.android.builder.tasks.app.BuildAtlasEnvTask.fillAwbAndroidRs,atlas-gradle-plugin/atlas-plugin/src/main/java/com/taobao/android/builder/tasks/app/BuildAtlasEnvTask.java,26905,34,26
37,com.taobao.android.builder.tasks.app.BuildAtlasEnvTask.fillAwbAndroidAssets,atlas-gradle-plugin/atlas-plugin/src/main/java/com/taobao/android/builder/tasks/app/BuildAtlasEnvTask.java,27283,34,26
38,com.taobao.android.builder.tasks.app.BuildAtlasEnvTask.fillAwbAndroidRes,atlas-gradle-plugin/atlas-plugin/src/main/java/com/taobao/android/builder/tasks/app/BuildAtlasEnvTask.java,27940,34,26
39,com.taobao.android.builder.tasks.app.BuildAtlasEnvTask.isMBundle,atlas-gradle-plugin/atlas-plugin/src/main/java/com/taobao/android/builder/tasks/app/BuildAtlasEnvTask.java,37940,34,26
