id,name,file,offset,containing_class_id,target_ids
0,com.facebook.buck.cli.MainRunner.setupDefaultConfig,src/com/facebook/buck/cli/MainRunner.java,24803,113,32
1,com.facebook.buck.cli.MainRunner.getProjectWatchList,src/com/facebook/buck/cli/MainRunner.java,25657,113,245 74
2,com.facebook.buck.cli.MainRunner.createTargetConfigurationSupplier,src/com/facebook/buck/cli/MainRunner.java,67056,113,74
3,com.facebook.buck.cli.MainRunner.getDirCacheStoreExecutor,src/com/facebook/buck/cli/MainRunner.java,69567,113,291
4,com.facebook.buck.cli.MainRunner.isRemoteExecutionBuild,src/com/facebook/buck/cli/MainRunner.java,70187,113,32 74
5,com.facebook.buck.cli.MainRunner.flushAndCloseEventListeners,src/com/facebook/buck/cli/MainRunner.java,78094,113,192
6,com.facebook.buck.cli.MainRunner.getBuildEnvironmentDescription,src/com/facebook/buck/cli/MainRunner.java,90225,113,74
7,com.facebook.buck.cli.TestCommand.getNumTestThreads,src/com/facebook/buck/cli/TestCommand.java,10068,276,74
8,com.facebook.buck.cli.TestCommand.filterTestRules,src/com/facebook/buck/cli/TestCommand.java,30916,276,74
9,com.facebook.buck.cli.CacheCommand.extractArtifact,src/com/facebook/buck/cli/CacheCommand.java,12353,162,168
10,com.facebook.buck.cli.DoctorCommand.generateReport,src/com/facebook/buck/cli/DoctorCommand.java,3346,290,13
11,com.facebook.buck.cli.TargetsCommand.hasConfigurationRules,src/com/facebook/buck/cli/TargetsCommand.java,18817,284,230
12,com.facebook.buck.cli.AbstractCommand.parseArgumentsAsTargetNodeSpecs,src/com/facebook/buck/cli/AbstractCommand.java,11685,17,74
13,com.facebook.buck.cli.AbstractCommand.getConcurrencyLimit,src/com/facebook/buck/cli/AbstractCommand.java,13757,17,74
14,com.facebook.buck.cli.VerifyCachesCommand.verifyRuleKeyCache,src/com/facebook/buck/cli/VerifyCachesCommand.java,2501,111,262
15,com.facebook.buck.cli.AuditClasspathCommand.printDotOutput,src/com/facebook/buck/cli/AuditClasspathCommand.java,4723,110,230
16,com.facebook.buck.cxx.toolchain.elf.Elf.getSectionName,src/com/facebook/buck/cxx/toolchain/elf/Elf.java,2141,24,34
17,com.facebook.buck.cxx.CxxLibrary.getCxxPreprocessorInput,src/com/facebook/buck/cxx/CxxLibrary.java,7684,106,170
18,com.facebook.buck.cxx.PreInclude.requirePrecompiledHeader,src/com/facebook/buck/cxx/PreInclude.java,11473,7,82
19,com.facebook.buck.jvm.java.plugin.adapter.TaskListenerProxy.unmirror,src/com/facebook/buck/jvm/java/plugin/adapter/TaskListenerProxy.java,1779,117,45
20,com.facebook.buck.jvm.java.JavacToJarStepFactory.createPipelinedCompileStep,src/com/facebook/buck/jvm/java/JavacToJarStepFactory.java,8450,293,83
21,com.facebook.buck.core.model.actiongraph.computation.ActionGraphProvider.getFreshActionGraph,src/com/facebook/buck/core/model/actiongraph/computation/ActionGraphProvider.java,6849,89,230
22,com.facebook.buck.file.HttpArchive.getUnarchiveStep,src/com/facebook/buck/file/HttpArchive.java,3746,0,50
23,com.facebook.buck.util.unarchive.Untar.mkdirs,src/com/facebook/buck/util/unarchive/Untar.java,6995,199,187
24,com.facebook.buck.util.unarchive.Untar.prepareForFile,src/com/facebook/buck/util/unarchive/Untar.java,7353,199,187
25,com.facebook.buck.util.unarchive.Unzip.extractDirectory,src/com/facebook/buck/util/unarchive/Unzip.java,7665,159,187
26,com.facebook.buck.util.unarchive.Unarchiver.extractArchive,src/com/facebook/buck/util/unarchive/Unarchiver.java,5169,141,56
27,com.facebook.buck.apple.BuiltinApplePackage.getLegacyWatchStubFromDeps,src/com/facebook/buck/apple/BuiltinApplePackage.java,8356,242,267
28,com.facebook.buck.apple.AppleTestDescription.getBuildRuleForTestHostAppTarget,src/com/facebook/buck/apple/AppleTestDescription.java,23711,118,167
29,com.facebook.buck.event.listener.DistBuildSlaveStateRenderer.isSlaveIdle,src/com/facebook/buck/event/listener/DistBuildSlaveStateRenderer.java,3077,289,38
30,com.facebook.buck.rules.coercer.DefaultConstructorArgMarshaller.collectDeclaredDeps,src/com/facebook/buck/rules/coercer/DefaultConstructorArgMarshaller.java,3037,152,208
31,com.facebook.buck.shell.TestSuiteDescription.validateTestDepsAreTestRules,src/com/facebook/buck/shell/TestSuiteDescription.java,2146,148,175
32,com.facebook.buck.doctor.DefaultDefectReporter.addNamedFilesToArchive,src/com/facebook/buck/doctor/DefaultDefectReporter.java,4332,238,224
33,com.facebook.buck.parser.function.BuckPyFunction.isSkippable,src/com/facebook/buck/parser/function/BuckPyFunction.java,4396,1,208
34,com.facebook.buck.worker.WorkerProcessPoolFactory.getCommand,src/com/facebook/buck/worker/WorkerProcessPoolFactory.java,5437,64,21
35,com.facebook.buck.android.resources.ResTableTypeSpec.getResourceName,src/com/facebook/buck/android/resources/ResTableTypeSpec.java,4354,197,180
36,com.facebook.buck.android.toolchain.ndk.impl.AndroidNdkFactory.detectNdkVersion,src/com/facebook/buck/android/toolchain/ndk/impl/AndroidNdkFactory.java,2766,240,93 127
37,com.facebook.buck.command.Build.executeAndPrintFailuresToEventBus,src/com/facebook/buck/command/Build.java,5254,138,192
38,com.facebook.buck.support.cli.args.PluginBasedCommandHelpPrinter.calculateTotalMaxLen,src/com/facebook/buck/support/cli/args/PluginBasedCommandHelpPrinter.java,2792,19,133
39,com.facebook.buck.support.cli.args.PluginBasedCommandHelpPrinter.printGlobalOptionsUsage,src/com/facebook/buck/support/cli/args/PluginBasedCommandHelpPrinter.java,3174,19,133
40,com.facebook.buck.support.cli.args.PluginBasedCommandHelpPrinter.printCommonOptionsUsage,src/com/facebook/buck/support/cli/args/PluginBasedCommandHelpPrinter.java,3474,19,133
41,com.facebook.buck.support.cli.args.PluginBasedCommandHelpPrinter.printSubCommandUsage,src/com/facebook/buck/support/cli/args/PluginBasedCommandHelpPrinter.java,3815,19,133
42,com.facebook.buck.support.state.BuckGlobalState.watchFileSystem,src/com/facebook/buck/support/state/BuckGlobalState.java,7631,225,61
43,com.facebook.buck.features.apple.project.ProjectGenerator.addEntitlementsPlistIntoTarget,src/com/facebook/buck/features/apple/project/ProjectGenerator.java,127896,282,76
44,com.facebook.buck.features.apple.project.XCodeProjectCommandHelper.getXcodeProjectTestsMode,src/com/facebook/buck/features/apple/project/XCodeProjectCommandHelper.java,13356,33,74
