id,name,file,offset,containing_class_id,target_ids
0,org.apache.cayenne.swing.BindingFactory.prepareBinding,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/swing/BindingFactory.java,4635,97,18
1,org.apache.cayenne.modeler.util.NameGeneratorPreferences.createNamingStrategy,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/util/NameGeneratorPreferences.java,3106,26,58
2,org.apache.cayenne.modeler.action.dbimport.MoveImportNodeAction.nodeClassesIsSameTypes,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/dbimport/MoveImportNodeAction.java,10336,84,6
3,org.apache.cayenne.modeler.action.dbimport.AddPatternParamAction.addPatternParamToContainer,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/dbimport/AddPatternParamAction.java,2026,14,6
4,org.apache.cayenne.modeler.action.dbimport.AddPatternParamAction.addPatternParamToIncludeTable,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/dbimport/AddPatternParamAction.java,3175,14,6
5,org.apache.cayenne.modeler.action.RemoveAction.removeDBRelationships,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/RemoveAction.java,13913,37,39 11
6,org.apache.cayenne.modeler.action.RemoveAction.removeObjRelationships,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/RemoveAction.java,14771,37,39 11
7,org.apache.cayenne.modeler.action.RemoveAction.removeMethods,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/RemoveAction.java,15499,37,39 11
8,org.apache.cayenne.modeler.action.OpenProjectAction.openProjectResourse,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/OpenProjectAction.java,7073,76,67
9,org.apache.cayenne.modeler.action.LoadDbSchemaAction.saveConnectionInfo,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/LoadDbSchemaAction.java,6676,36,99
10,org.apache.cayenne.modeler.action.ReverseEngineeringAction.saveConnectionInfo,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/ReverseEngineeringAction.java,6538,64,99
11,org.apache.cayenne.modeler.action.ReverseEngineeringAction.runLoaderInThread,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/ReverseEngineeringAction.java,7661,64,29
12,org.apache.cayenne.modeler.action.CreateCallbackMethodAction.createCallbackMethod,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/CreateCallbackMethodAction.java,3370,3,60
13,org.apache.cayenne.modeler.action.RemoveCallbackMethodAction.removeCallbackMethod,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/RemoveCallbackMethodAction.java,3515,102,60
14,org.apache.cayenne.modeler.dialog.db.load.DbLoaderContext.fillReverseEngineeringFromView,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/db/load/DbLoaderContext.java,3547,29,7
15,org.apache.cayenne.modeler.dialog.db.load.DbLoaderContext.fillConfig,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/db/load/DbLoaderContext.java,5333,29,88
16,org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsControllerBase.getJoin,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/autorelationship/InferRelationshipsControllerBase.java,4409,92,61
17,org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsControllerBase.getToMany,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/autorelationship/InferRelationshipsControllerBase.java,4597,92,61
18,org.apache.cayenne.modeler.editor.dbimport.DbImportTree.findNodeInParent,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbimport/DbImportTree.java,4295,54,6
19,org.apache.cayenne.modeler.editor.dbimport.DbImportTree.findNodeByParentsChain,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbimport/DbImportTree.java,5884,54,6
20,org.apache.cayenne.modeler.editor.dbimport.DbImportTree.findNode,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbimport/DbImportTree.java,6737,54,6
21,org.apache.cayenne.modeler.editor.dbimport.DbImportTree.printParams,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbimport/DbImportTree.java,8977,54,6
22,org.apache.cayenne.modeler.editor.validation.ObjAttributeWrapperValidator.isAttributeNameOverlapped,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/validation/ObjAttributeWrapperValidator.java,1783,19,87
23,org.apache.cayenne.modeler.editor.ObjCallbackMethod.encodeCallbackTypeForXML,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/ObjCallbackMethod.java,1643,45,60
24,org.apache.cayenne.modeler.editor.ObjAttributeTableModel.getDBAttribute,modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/ObjAttributeTableModel.java,6576,30,87
