id,name,file,offset
0,org.elasticsearch.gateway.PriorityComparator,es/es-server/src/main/java/org/elasticsearch/gateway/PriorityComparator.java,1129
1,org.elasticsearch.snapshots.Snapshot,es/es-server/src/main/java/org/elasticsearch/snapshots/Snapshot.java,1048
2,org.elasticsearch.cluster.ClusterInfo,es/es-server/src/main/java/org/elasticsearch/cluster/ClusterInfo.java,1383
3,io.crate.metadata.table.Operation,sql/src/main/java/io/crate/metadata/table/Operation.java,1398
4,io.crate.execution.jobs.RootTask,sql/src/main/java/io/crate/execution/jobs/RootTask.java,2123
5,org.elasticsearch.indices.recovery.RecoveriesCollection,es/es-server/src/main/java/org/elasticsearch/indices/recovery/RecoveriesCollection.java,1651
6,org.elasticsearch.action.support.ActiveShardCount,es/es-server/src/main/java/org/elasticsearch/action/support/ActiveShardCount.java,1406
7,org.elasticsearch.cluster.routing.RoutingTable,es/es-server/src/main/java/org/elasticsearch/cluster/routing/RoutingTable.java,2016
8,org.elasticsearch.Version,es/es-server/src/main/java/org/elasticsearch/Version.java,1497
9,io.crate.metadata.ColumnIdent,sql/src/main/java/io/crate/metadata/ColumnIdent.java,1695
10,org.elasticsearch.indices.flush.SyncedFlushService,es/es-server/src/main/java/org/elasticsearch/indices/flush/SyncedFlushService.java,3372
11,io.crate.execution.jobs.kill.TransportKillJobsNodeAction,sql/src/main/java/io/crate/execution/jobs/kill/TransportKillJobsNodeAction.java,1363
12,io.crate.analyze.expressions.ExpressionAnalyzer,sql/src/main/java/io/crate/analyze/expressions/ExpressionAnalyzer.java,6306
13,io.crate.metadata.RelationName,sql/src/main/java/io/crate/metadata/RelationName.java,1676
14,org.elasticsearch.indices.recovery.PeerRecoveryTargetService,es/es-server/src/main/java/org/elasticsearch/indices/recovery/PeerRecoveryTargetService.java,3457
15,io.crate.expression.scalar.geo.DistanceFunction,sql/src/main/java/io/crate/expression/scalar/geo/DistanceFunction.java,1885
16,org.elasticsearch.cluster.routing.allocation.decider.SameShardAllocationDecider,es/es-server/src/main/java/org/elasticsearch/cluster/routing/allocation/decider/SameShardAllocationDecider.java,1293
17,org.elasticsearch.repositories.RepositoriesService,es/es-server/src/main/java/org/elasticsearch/repositories/RepositoriesService.java,2256
