id,name,file,offset,containing_class_id,target_ids
0,org.elasticsearch.env.NodeEnvironment.isShardLocked,es/es-server/src/main/java/org/elasticsearch/env/NodeEnvironment.java,22902,59,139
1,org.elasticsearch.env.NodeEnvironment.deleteIndexDirectorySafe,es/es-server/src/main/java/org/elasticsearch/env/NodeEnvironment.java,23152,59,22 123
2,org.elasticsearch.node.Node.writePortsFile,es/es-server/src/main/java/org/elasticsearch/node/Node.java,47895,54,94
3,org.elasticsearch.index.query.QueryShardContext.getSearchAnalyzer,es/es-server/src/main/java/org/elasticsearch/index/query/QueryShardContext.java,3428,60,20
4,org.elasticsearch.index.query.QueryShardContext.getSearchQuoteAnalyzer,es/es-server/src/main/java/org/elasticsearch/index/query/QueryShardContext.java,3852,60,20
5,org.elasticsearch.index.seqno.GlobalCheckpointSyncAction.maybeSyncTranslog,es/es-server/src/main/java/org/elasticsearch/index/seqno/GlobalCheckpointSyncAction.java,5250,29,27
6,org.elasticsearch.index.shard.IndexShard.prepareDelete,es/es-server/src/main/java/org/elasticsearch/index/shard/IndexShard.java,45029,27,41
7,org.elasticsearch.index.shard.IndexShard.startRecovery,es/es-server/src/main/java/org/elasticsearch/index/shard/IndexShard.java,99856,27,51 90 14 17
8,org.elasticsearch.index.store.Store.createVerifyingOutput,es/es-server/src/main/java/org/elasticsearch/index/store/Store.java,23405,26,92
9,org.elasticsearch.index.store.Store.openVerifyingInput,es/es-server/src/main/java/org/elasticsearch/index/store/Store.java,24474,26,92
10,org.elasticsearch.index.engine.Segment.readSegmentSort,es/es-server/src/main/java/org/elasticsearch/index/engine/Segment.java,6254,30,78
11,org.elasticsearch.index.engine.Segment.writeSegmentSort,es/es-server/src/main/java/org/elasticsearch/index/engine/Segment.java,8427,30,33
12,org.elasticsearch.index.mapper.MapperService.assertMappingVersion,es/es-server/src/main/java/org/elasticsearch/index/mapper/MapperService.java,11293,80,118
13,org.elasticsearch.index.mapper.MapperService.assertSerialization,es/es-server/src/main/java/org/elasticsearch/index/mapper/MapperService.java,26536,80,85
14,org.elasticsearch.index.mapper.RootObjectMapper.findTemplateBuilder,es/es-server/src/main/java/org/elasticsearch/index/mapper/RootObjectMapper.java,10031,39,49
15,org.elasticsearch.index.search.MatchQuery.hasPositions,es/es-server/src/main/java/org/elasticsearch/index/search/MatchQuery.java,7088,89,20
16,org.elasticsearch.index.analysis.AnalysisRegistry.build,es/es-server/src/main/java/org/elasticsearch/index/analysis/AnalysisRegistry.java,7213,120,123
17,org.elasticsearch.index.analysis.AnalysisRegistry.processAnalyzerFactory,es/es-server/src/main/java/org/elasticsearch/index/analysis/AnalysisRegistry.java,28206,120,123
18,org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.buildSimpleSnapshotInfos,es/es-server/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/get/TransportGetSnapshotsAction.java,7592,133,146
19,org.elasticsearch.action.admin.cluster.configuration.AddVotingConfigExclusionsRequest.resolveVotingConfigExclusions,es/es-server/src/main/java/org/elasticsearch/action/admin/cluster/configuration/AddVotingConfigExclusionsRequest.java,3386,102,82
20,org.elasticsearch.action.admin.indices.create.CreateIndexRequest.mapping,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/create/CreateIndexRequest.java,7329,48,149
21,org.elasticsearch.action.admin.indices.create.CreateIndexRequest.aliases,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/create/CreateIndexRequest.java,10882,48,149
22,org.elasticsearch.action.admin.indices.create.CreateIndexRequest.alias,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/create/CreateIndexRequest.java,11636,48,101
23,org.elasticsearch.action.admin.indices.create.CreateIndexRequest.source,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/create/CreateIndexRequest.java,12775,48,149
24,org.elasticsearch.action.admin.indices.shrink.ResizeRequest.setWaitForActiveShards,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/shrink/ResizeRequest.java,5435,132,6
25,org.elasticsearch.action.admin.indices.upgrade.post.TransportUpgradeAction.indicesWithMissingPrimaries,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/upgrade/post/TransportUpgradeAction.java,8414,121,82
26,org.elasticsearch.action.admin.indices.template.put.PutIndexTemplateRequest.mapping,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/template/put/PutIndexTemplateRequest.java,7763,116,149
27,org.elasticsearch.action.admin.indices.template.put.PutIndexTemplateRequest.aliases,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/template/put/PutIndexTemplateRequest.java,14597,116,149
28,org.elasticsearch.action.admin.indices.template.put.PutIndexTemplateRequest.alias,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/template/put/PutIndexTemplateRequest.java,15356,116,101
29,org.elasticsearch.action.support.ActiveShardCount.enoughShardsActive,es/es-server/src/main/java/org/elasticsearch/action/support/ActiveShardCount.java,5323,6,82
30,org.elasticsearch.common.io.stream.StreamOutput.writeBytesReference,es/es-server/src/main/java/org/elasticsearch/common/io/stream/StreamOutput.java,7211,33,149
31,org.elasticsearch.common.io.stream.StreamOutput.writeOptionalBytesReference,es/es-server/src/main/java/org/elasticsearch/common/io/stream/StreamOutput.java,7534,33,149
32,org.elasticsearch.common.io.stream.StreamOutput.writeOptionalText,es/es-server/src/main/java/org/elasticsearch/common/io/stream/StreamOutput.java,12434,33,66
33,org.elasticsearch.common.io.stream.StreamOutput.writeGeoPoint,es/es-server/src/main/java/org/elasticsearch/common/io/stream/StreamOutput.java,36445,33,145
34,org.elasticsearch.common.inject.internal.Errors.merge,es/es-server/src/main/java/org/elasticsearch/common/inject/internal/Errors.java,14884,142,37
35,org.elasticsearch.common.inject.internal.ProviderMethodsModule.getKey,es/es-server/src/main/java/org/elasticsearch/common/inject/internal/ProviderMethodsModule.java,4824,67,142
36,org.elasticsearch.common.compress.CompressedXContent.writeTo,es/es-server/src/main/java/org/elasticsearch/common/compress/CompressedXContent.java,5954,75,33
37,org.elasticsearch.common.settings.Settings.getAsVersion,es/es-server/src/main/java/org/elasticsearch/common/settings/Settings.java,20585,52,8
38,org.elasticsearch.common.blobstore.fs.FsBlobStore.buildPath,es/es-server/src/main/java/org/elasticsearch/common/blobstore/fs/FsBlobStore.java,2831,148,74
39,org.elasticsearch.cluster.node.DiscoveryNodes.nodeExists,es/es-server/src/main/java/org/elasticsearch/cluster/node/DiscoveryNodes.java,6837,144,108
40,org.elasticsearch.cluster.node.DiscoveryNodes.findByAddress,es/es-server/src/main/java/org/elasticsearch/cluster/node/DiscoveryNodes.java,7995,144,55
41,org.elasticsearch.cluster.node.DiscoveryNodes.newNode,es/es-server/src/main/java/org/elasticsearch/cluster/node/DiscoveryNodes.java,14807,144,108
