id,name,file,offset,original_class_id,target_class_id
0,org.elasticsearch.index.shard.ShardId.isShardLocked,es/es-server/src/main/java/org/elasticsearch/index/shard/ShardId.java,4261,59,139
2,org.elasticsearch.common.transport.BoundTransportAddress.writePortsFile,es/es-server/src/main/java/org/elasticsearch/common/transport/BoundTransportAddress.java,2665,54,94
3,org.elasticsearch.index.mapper.MappedFieldType.getSearchAnalyzer,es/es-server/src/main/java/org/elasticsearch/index/mapper/MappedFieldType.java,17195,60,20
5,org.elasticsearch.index.shard.IndexShard.maybeSyncTranslog,es/es-server/src/main/java/org/elasticsearch/index/shard/IndexShard.java,106701,29,27
8,org.elasticsearch.index.store.StoreFileMetaData.createVerifyingOutput,es/es-server/src/main/java/org/elasticsearch/index/store/StoreFileMetaData.java,4503,26,92
10,org.elasticsearch.common.io.stream.StreamInput.readSegmentSort,es/es-server/src/main/java/org/elasticsearch/common/io/stream/StreamInput.java,38834,30,78
12,org.elasticsearch.cluster.metadata.IndexMetaData.assertMappingVersion,es/es-server/src/main/java/org/elasticsearch/cluster/metadata/IndexMetaData.java,4898,80,118
14,org.elasticsearch.index.mapper.ParseContext.findTemplateBuilder,es/es-server/src/main/java/org/elasticsearch/index/mapper/ParseContext.java,1389,39,49
16,org.elasticsearch.index.IndexSettings.build,es/es-server/src/main/java/org/elasticsearch/index/IndexSettings.java,27946,120,123
18,org.elasticsearch.repositories.RepositoryData.buildSimpleSnapshotInfos,es/es-server/src/main/java/org/elasticsearch/repositories/RepositoryData.java,23357,133,146
19,org.elasticsearch.cluster.ClusterState.resolveVotingConfigExclusions,es/es-server/src/main/java/org/elasticsearch/cluster/ClusterState.java,5179,102,82
20,org.elasticsearch.common.bytes.BytesReference.mapping,es/es-server/src/main/java/org/elasticsearch/common/bytes/BytesReference.java,9507,48,149
24,org.elasticsearch.action.support.ActiveShardCount.setWaitForActiveShards,es/es-server/src/main/java/org/elasticsearch/action/support/ActiveShardCount.java,8778,132,6
28,org.elasticsearch.action.admin.indices.alias.Alias.alias,es/es-server/src/main/java/org/elasticsearch/action/admin/indices/alias/Alias.java,8922,116,101
32,org.elasticsearch.common.text.Text.writeOptionalText,es/es-server/src/main/java/org/elasticsearch/common/text/Text.java,3597,33,66
34,org.elasticsearch.common.inject.spi.Message.merge,es/es-server/src/main/java/org/elasticsearch/common/inject/spi/Message.java,3558,142,37
37,org.elasticsearch.Version.getAsVersion,es/es-server/src/main/java/org/elasticsearch/Version.java,14307,52,8
38,org.elasticsearch.common.blobstore.BlobPath.buildPath,es/es-server/src/main/java/org/elasticsearch/common/blobstore/BlobPath.java,2376,148,74
39,org.elasticsearch.cluster.node.DiscoveryNode.nodeExists,es/es-server/src/main/java/org/elasticsearch/cluster/node/DiscoveryNode.java,14504,144,108
42,org.elasticsearch.rest.RestStatus.hasGlobalBlockWithStatus,es/es-server/src/main/java/org/elasticsearch/rest/RestStatus.java,32362,134,107
44,org.elasticsearch.cluster.routing.allocation.RoutingAllocation.explainOrThrowRejectedCommand,es/es-server/src/main/java/org/elasticsearch/cluster/routing/allocation/RoutingAllocation.java,10292,34,18
47,org.elasticsearch.cluster.routing.RoutingNode.averageUsage,es/es-server/src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java,7763,76,128
50,org.elasticsearch.cluster.routing.ShardRouting.decideSameNode,es/es-server/src/main/java/org/elasticsearch/cluster/routing/ShardRouting.java,27100,16,25
52,org.elasticsearch.cluster.routing.RoutingNodes.isVersionCompatibleRelocatePrimary,es/es-server/src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java,39220,119,115
61,org.elasticsearch.cluster.routing.allocation.RerouteExplanation.add,es/es-server/src/main/java/org/elasticsearch/cluster/routing/allocation/RerouteExplanation.java,2775,99,62
66,org.elasticsearch.index.Index.hasIndex,es/es-server/src/main/java/org/elasticsearch/index/Index.java,4160,7,22
76,org.elasticsearch.cluster.metadata.MetaData.validate,es/es-server/src/main/java/org/elasticsearch/cluster/metadata/MetaData.java,3961,147,32
78,org.elasticsearch.cluster.routing.ShardRoutingState.shardsWithState,es/es-server/src/main/java/org/elasticsearch/cluster/routing/ShardRoutingState.java,2135,56,111
94,org.elasticsearch.snapshots.Snapshot.snapshot,es/es-server/src/main/java/org/elasticsearch/snapshots/Snapshot.java,3009,138,1
95,org.elasticsearch.cluster.service.ClusterApplierService.getPersistedState,es/es-server/src/main/java/org/elasticsearch/cluster/service/ClusterApplierService.java,6997,88,68
103,org.elasticsearch.common.util.concurrent.CountDown.countDownAndSendResponseIfDone,es/es-server/src/main/java/org/elasticsearch/common/util/concurrent/CountDown.java,2989,10,43
104,org.elasticsearch.common.unit.ByteSizeValue.validateTotalCircuitBreakerLimit,es/es-server/src/main/java/org/elasticsearch/common/unit/ByteSizeValue.java,9646,86,93
105,org.elasticsearch.env.Environment.resolveHunspellDirectory,es/es-server/src/main/java/org/elasticsearch/env/Environment.java,12873,137,117
107,org.elasticsearch.snapshots.SnapshotInfo.validateSnapshotRestorable,es/es-server/src/main/java/org/elasticsearch/snapshots/SnapshotInfo.java,3787,70,140
112,org.elasticsearch.transport.TransportRequestOptions.submitRequest,es/es-server/src/main/java/org/elasticsearch/transport/TransportRequestOptions.java,1562,103,79
119,org.elasticsearch.repositories.azure.AzureStorageSettings.createClient,es/es-repository-azure/src/main/java/org/elasticsearch/repositories/azure/AzureStorageSettings.java,6704,114,124
121,io.crate.expression.symbol.Symbol.add,sql/src/main/java/io/crate/expression/symbol/Symbol.java,3367,100,42
122,io.crate.analyze.expressions.ExpressionAnalyzer.analyzeHaving,sql/src/main/java/io/crate/analyze/expressions/ExpressionAnalyzer.java,16862,53,12
125,io.crate.metadata.Reference.addGeneratedColumn,sql/src/main/java/io/crate/metadata/Reference.java,1815,46,24
126,io.crate.planner.DependencyCarrier.createExecutor,sql/src/main/java/io/crate/planner/DependencyCarrier.java,6359,106,47
127,io.crate.execution.jobs.kill.TransportKillJobsNodeAction.execute,sql/src/main/java/io/crate/execution/jobs/kill/TransportKillJobsNodeAction.java,2359,61,11
130,io.crate.planner.PlannerContext.planWithEvalProjection,sql/src/main/java/io/crate/planner/PlannerContext.java,4529,81,126
132,io.crate.metadata.ColumnIdent.getDynamic,sql/src/main/java/io/crate/metadata/ColumnIdent.java,12651,69,9
134,io.crate.metadata.RelationName.getTableInfo,sql/src/main/java/io/crate/metadata/RelationName.java,5492,135,13
135,io.crate.analyze.CreateTableAnalyzedStatement.settings,sql/src/main/java/io/crate/analyze/CreateTableAnalyzedStatement.java,5283,131,97
136,io.crate.expression.eval.EvaluatingNormalizer.normalizeOther,sql/src/main/java/io/crate/expression/eval/EvaluatingNormalizer.java,4093,72,122
137,io.crate.execution.engine.collect.CollectTask.getLocalCollectorProvider,sql/src/main/java/io/crate/execution/engine/collect/CollectTask.java,6573,77,105
138,io.crate.execution.jobs.RootTask.getHandlerBucketReceivers,sql/src/main/java/io/crate/execution/jobs/RootTask.java,3269,28,4
139,io.crate.expression.udf.UserDefinedFunctionsMetaData.putFunction,sql/src/main/java/io/crate/expression/udf/UserDefinedFunctionsMetaData.java,6550,129,44
142,org.elasticsearch.action.admin.indices.create.CreatePartitionsRequest.validateAndFilterExistingIndices,sql/src/main/java/org/elasticsearch/action/admin/indices/create/CreatePartitionsRequest.java,3128,19,113
