id,name,file,offset
0,org.nd4j.autodiff.functions.DifferentialFunction,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunction.java,1757
1,org.nd4j.imports.graphmapper.onnx.OnnxGraphMapper,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/imports/graphmapper/onnx/OnnxGraphMapper.java,2036
2,org.deeplearning4j.text.documentiterator.LabelledDocument,deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp/src/main/java/org/deeplearning4j/text/documentiterator/LabelledDocument.java,964
3,org.deeplearning4j.models.paragraphvectors.ParagraphVectors,deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp/src/main/java/org/deeplearning4j/models/paragraphvectors/ParagraphVectors.java,3605
4,org.nd4j.linalg.activations.Activation,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/activations/Activation.java,1687
5,org.ansj.app.crf.Model,deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp-chinese/src/main/java/org/ansj/app/crf/Model.java,470
6,org.nd4j.linalg.api.blas.params.MMulTranspose,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/params/MMulTranspose.java,959
7,org.deeplearning4j.nn.workspace.LayerWorkspaceMgr,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/workspace/LayerWorkspaceMgr.java,1182
8,org.nd4j.linalg.dataset.MiniBatchFileDataSetIterator,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/dataset/MiniBatchFileDataSetIterator.java,1174
9,org.nd4j.evaluation.classification.ROC,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/evaluation/classification/ROC.java,2157
10,org.deeplearning4j.nn.params.CenterLossParamInitializer,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/params/CenterLossParamInitializer.java,1057
11,org.nd4j.autodiff.samediff.TrainingConfig,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/TrainingConfig.java,1304
12,org.nd4j.linalg.dataset.DataSet,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/dataset/DataSet.java,1681
13,org.deeplearning4j.ui.i18n.I18NResource,deeplearning4j/deeplearning4j-ui-parent/deeplearning4j-play/src/main/java/org/deeplearning4j/ui/i18n/I18NResource.java,957
