id,name,file,offset,containing_class_id,target_ids
0,org.nd4j.linalg.api.buffer.BaseDataBuffer.putByDestinationType,nd4j/nd4j-buffer/src/main/java/org/nd4j/linalg/api/buffer/BaseDataBuffer.java,47450,51,32
1,org.nd4j.linalg.api.ops.impl.reduce.TensorMmul.doTensorMmul,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/ops/impl/reduce/TensorMmul.java,5471,62,47
2,org.nd4j.linalg.dataset.api.iterator.StandardScaler.transform,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/dataset/api/iterator/StandardScaler.java,5144,41,12
3,org.nd4j.linalg.dataset.MiniBatchFileDataSetIterator.writeData,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/dataset/MiniBatchFileDataSetIterator.java,5870,8,12
4,org.nd4j.linalg.activations.Activation.asSameDiff,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/activations/Activation.java,4589,4,47 43
5,org.nd4j.imports.graphmapper.tf.TFGraphMapper.initFunctionFromProperties,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/imports/graphmapper/tf/TFGraphMapper.java,24848,27,0
6,org.nd4j.imports.graphmapper.onnx.OnnxGraphMapper.initFunctionFromProperties,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/imports/graphmapper/onnx/OnnxGraphMapper.java,3090,1,0
7,org.nd4j.autodiff.samediff.SameDiff.getOutputVariablesForFunction,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,21288,43,0
8,org.nd4j.autodiff.samediff.SameDiff.getInputVariablesForFunction,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,21985,43,0
9,org.nd4j.autodiff.samediff.SameDiff.putShapeForVarName,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,25615,43,58
10,org.nd4j.autodiff.samediff.SameDiff.addOutgoingFor,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,43371,43,0
11,org.nd4j.autodiff.samediff.SameDiff.addArgsFor,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,47092,43,0
12,org.nd4j.autodiff.samediff.SameDiff.output,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,79560,43,12
13,org.nd4j.autodiff.samediff.SameDiff.constant,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,86105,43,47
14,org.nd4j.autodiff.samediff.SameDiff.var,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,90749,43,58
15,org.nd4j.autodiff.samediff.SameDiff.convertToConstant,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,99640,43,47
16,org.nd4j.autodiff.samediff.SameDiff.convertToVariable,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,104713,43,47
17,org.nd4j.autodiff.samediff.SameDiff.saveWithTrainingConfig,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,196457,43,11
18,org.nd4j.autodiff.samediff.SameDiff.asFlatFile,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,199440,43,50
19,org.nd4j.autodiff.functions.DifferentialFunctionFactory.zerosLike,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,7167,45,47
20,org.nd4j.autodiff.functions.DifferentialFunctionFactory.onesLike,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,7364,45,47
21,org.nd4j.autodiff.functions.DifferentialFunctionFactory.constant,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,7588,45,47
22,org.nd4j.autodiff.functions.DifferentialFunctionFactory.linspace,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,7778,45,47
23,org.nd4j.autodiff.functions.DifferentialFunctionFactory.cast,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,8177,45,47
24,org.nd4j.autodiff.functions.DifferentialFunctionFactory.randomUniform,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,8479,45,47
25,org.nd4j.autodiff.functions.DifferentialFunctionFactory.randomNormal,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,8822,45,47
26,org.nd4j.autodiff.functions.DifferentialFunctionFactory.randomBernoulli,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,9161,45,47
27,org.nd4j.autodiff.functions.DifferentialFunctionFactory.randomExponential,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,10009,45,47
28,org.nd4j.autodiff.functions.DifferentialFunctionFactory.pad,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,10337,45,47
29,org.nd4j.autodiff.functions.DifferentialFunctionFactory.localResponseNormalization,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,10526,45,47 22
30,org.nd4j.autodiff.functions.DifferentialFunctionFactory.conv1d,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunctionFactory.java,11087,45,47 36
