id,name,file,offset,original_class_id,target_class_id
0,org.nd4j.linalg.api.buffer.DataType.putByDestinationType,nd4j/nd4j-buffer/src/main/java/org/nd4j/linalg/api/buffer/DataType.java,2764,51,32
1,org.nd4j.autodiff.samediff.SDVariable.doTensorMmul,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SDVariable.java,68959,62,47
2,org.nd4j.linalg.dataset.DataSet.transform,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/dataset/DataSet.java,45316,41,12
4,org.nd4j.autodiff.samediff.SameDiff.asSameDiff,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/samediff/SameDiff.java,219860,4,43
5,org.nd4j.autodiff.functions.DifferentialFunction.initFunctionFromProperties,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/autodiff/functions/DifferentialFunction.java,26442,27,0
29,org.nd4j.linalg.api.ops.impl.layers.convolution.config.LocalResponseNormalizationConfig.localResponseNormalization,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/ops/impl/layers/convolution/config/LocalResponseNormalizationConfig.java,1540,45,22
387,org.nd4j.evaluation.classification.ROC.serialize,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/evaluation/classification/ROC.java,20689,21,9
389,org.nd4j.linalg.jcublas.context.CudaContext.getDeviceBuffers,nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/context/CudaContext.java,7345,52,48
390,org.nd4j.jita.allocator.pointers.cuda.cudaStream_t.register,nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/jita/allocator/pointers/cuda/cudaStream_t.java,1612,64,55
391,org.nd4j.parameterserver.distributed.conf.VoidConfiguration.getRole,nd4j/nd4j-parameter-server-parent/nd4j-parameter-server-node/src/main/java/org/nd4j/parameterserver/distributed/conf/VoidConfiguration.java,10067,14,71
392,org.deeplearning4j.nn.conf.layers.Layer.hasBias,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/Layer.java,9874,68,35
394,org.deeplearning4j.nn.conf.NeuralNetConfiguration.createVisibleBias,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/NeuralNetConfiguration.java,6416,46,28
395,org.deeplearning4j.nn.conf.layers.samediff.AbstractSameDiffLayer.subsetAndReshape,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/samediff/AbstractSameDiffLayer.java,7967,61,26
402,org.deeplearning4j.nn.conf.layers.DepthwiseConvolution2D.numBiasParams,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/DepthwiseConvolution2D.java,4348,65,60
406,org.deeplearning4j.nn.conf.layers.SeparableConvolution2D.numBiasParams,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/SeparableConvolution2D.java,6912,30,49
412,org.deeplearning4j.nn.conf.distribution.Distribution.getWeightInitFunction,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/distribution/Distribution.java,1587,40,18
413,org.deeplearning4j.nn.workspace.LayerWorkspaceMgr.activationFromPrevLayer,deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/workspace/LayerWorkspaceMgr.java,5514,38,7
415,org.deeplearning4j.spark.models.embeddings.word2vec.Word2VecParam.skipGram,deeplearning4j/deeplearning4j-scaleout/spark/dl4j-spark-nlp/src/main/java/org/deeplearning4j/spark/models/embeddings/word2vec/Word2VecParam.java,5565,63,17
416,org.deeplearning4j.ui.i18n.I18NResource.parseFile,deeplearning4j/deeplearning4j-ui-parent/deeplearning4j-play/src/main/java/org/deeplearning4j/ui/i18n/I18NResource.java,1302,57,13
417,org.deeplearning4j.text.documentiterator.LabelledDocument.predict,deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp/src/main/java/org/deeplearning4j/text/documentiterator/LabelledDocument.java,2185,3,2
422,org.ansj.app.crf.Model.maxFrom,deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp-chinese/src/main/java/org/ansj/app/crf/Model.java,4967,24,5
423,org.ansj.domain.Term.addTerm,deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp-chinese/src/main/java/org/ansj/domain/Term.java,6335,16,39
427,org.ansj.domain.Result.recognitionOther,deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp-chinese/src/main/java/org/ansj/domain/Result.java,1823,69,25
429,com.atilika.kuromoji.ipadic.compile.DictionaryEntry.extractPosFeatures,deeplearning4j/deeplearning4j-nlp-parent/deeplearning4j-nlp-japanese/src/main/java/com/atilika/kuromoji/ipadic/compile/DictionaryEntry.java,3283,15,42
431,org.deeplearning4j.clustering.cluster.Cluster.isPointLocationChange,deeplearning4j/deeplearning4j-nearestneighbors-parent/nearestneighbor-core/src/main/java/org/deeplearning4j/clustering/cluster/Cluster.java,4091,59,23
