id,name,file,offset
0,org.drools.core.impl.StatefulKnowledgeSessionImpl,drools-core/src/main/java/org/drools/core/impl/StatefulKnowledgeSessionImpl.java,7261
1,org.drools.persistence.jpa.marshaller.MappedVariable,drools-persistence/drools-persistence-jpa/src/main/java/org/drools/persistence/jpa/marshaller/MappedVariable.java,955
2,org.drools.core.rule.SlidingTimeWindow,drools-core/src/main/java/org/drools/core/rule/SlidingTimeWindow.java,2099
3,org.drools.examples.templates.FeeType,drools-examples/src/main/java/org/drools/examples/templates/FeeType.java,661
4,org.drools.verifier.core.index.model.Rule,drools-verifier/drools-verifier-core/src/main/java/org/drools/verifier/core/index/model/Rule.java,1406
5,org.drools.core.rule.EntryPointId,drools-core/src/main/java/org/drools/core/rule/EntryPointId.java,845
6,org.drools.workbench.models.guided.template.shared.TemplateModel,drools-workbench-models/drools-workbench-models-guided-template/src/main/java/org/drools/workbench/models/guided/template/shared/TemplateModel.java,1098
7,org.kie.dmn.core.impl.DMNResultImpl,kie-dmn/kie-dmn-core/src/main/java/org/kie/dmn/core/impl/DMNResultImpl.java,1216
8,org.drools.compiler.kie.builder.impl.ResultsImpl,drools-compiler/src/main/java/org/drools/compiler/kie/builder/impl/ResultsImpl.java,991
9,org.drools.core.reteoo.QueryTerminalNode,drools-core/src/main/java/org/drools/core/reteoo/QueryTerminalNode.java,1090
10,org.drools.compiler.rule.builder.RuleBuildContext,drools-compiler/src/main/java/org/drools/compiler/rule/builder/RuleBuildContext.java,1549
11,org.drools.core.factmodel.traits.TraitProxy,drools-core/src/main/java/org/drools/core/factmodel/traits/TraitProxy.java,1080
12,org.drools.compiler.lang.ParserHelper,drools-compiler/src/main/java/org/drools/compiler/lang/ParserHelper.java,2961
13,org.drools.core.phreak.PhreakTimerNode,drools-core/src/main/java/org/drools/core/phreak/PhreakTimerNode.java,2668
14,org.drools.core.util.index.TupleIndexHashTable,drools-core/src/main/java/org/drools/core/util/index/TupleIndexHashTable.java,1035
15,org.drools.workbench.models.guided.template.backend.upgrade.TemplateModelUpgradeHelper1,drools-workbench-models/drools-workbench-models-guided-template/src/main/java/org/drools/workbench/models/guided/template/backend/upgrade/TemplateModelUpgradeHelper1.java,901
16,org.drools.core.factmodel.traits.TraitMapProxyClassBuilderImpl,drools-core/src/main/java/org/drools/core/factmodel/traits/TraitMapProxyClassBuilderImpl.java,1815
17,org.drools.core.reteoo.ModifyPreviousTuples,drools-core/src/main/java/org/drools/core/reteoo/ModifyPreviousTuples.java,906
18,org.drools.core.impl.KnowledgeBaseImpl,drools-core/src/main/java/org/drools/core/impl/KnowledgeBaseImpl.java,4992
19,org.drools.core.xml.ExtensibleXmlParser,drools-core/src/main/java/org/drools/core/xml/ExtensibleXmlParser.java,1778
20,org.drools.core.factmodel.traits.TypeWrapper,drools-core/src/main/java/org/drools/core/factmodel/traits/TypeWrapper.java,739
21,org.drools.workbench.models.testscenarios.backend.TestScenarioKSessionWrapper,drools-workbench-models/drools-workbench-models-test-scenarios/src/main/java/org/drools/workbench/models/testscenarios/backend/TestScenarioKSessionWrapper.java,1434
22,org.drools.compiler.builder.impl.ClassHierarchyManager,drools-compiler/src/main/java/org/drools/compiler/builder/impl/ClassHierarchyManager.java,1793
23,org.drools.core.reteoo.AccumulateNode,drools-core/src/main/java/org/drools/core/reteoo/AccumulateNode.java,2195
24,org.drools.compiler.lang.descr.EnumLiteralDescr,drools-compiler/src/main/java/org/drools/compiler/lang/descr/EnumLiteralDescr.java,832
25,org.drools.workbench.models.datamodel.rule.RuleMetadata,drools-workbench-models/drools-workbench-models-datamodel-api/src/main/java/org/drools/workbench/models/datamodel/rule/RuleMetadata.java,676
26,org.drools.core.time.impl.CronTrigger,drools-core/src/main/java/org/drools/core/time/impl/CronTrigger.java,812
27,org.drools.core.reteoo.NotNode,drools-core/src/main/java/org/drools/core/reteoo/NotNode.java,1140
28,org.drools.workbench.models.guided.dtable.shared.model.DTCellValue52,drools-workbench-models/drools-workbench-models-guided-dtable/src/main/java/org/drools/workbench/models/guided/dtable/shared/model/DTCellValue52.java,890
29,org.kie.pmml.pmml_4_2.model.PMML4ModelFactory,kie-pmml/src/main/java/org/kie/pmml/pmml_4_2/model/PMML4ModelFactory.java,1092
30,org.drools.workbench.models.datamodel.rule.visitors.RuleModelVisitor,drools-workbench-models/drools-workbench-models-datamodel-api/src/main/java/org/drools/workbench/models/datamodel/rule/visitors/RuleModelVisitor.java,2438
31,org.drools.workbench.models.guided.dtable.backend.util.GuidedDTTemplateDataProvider,drools-workbench-models/drools-workbench-models-guided-dtable/src/main/java/org/drools/workbench/models/guided/dtable/backend/util/GuidedDTTemplateDataProvider.java,1085
