id,name,file,offset,original_class_id,target_class_id
0,org.kie.dmn.core.impl.DMNResultImpl.isNodeValueDefined,kie-dmn/kie-dmn-core/src/main/java/org/kie/dmn/core/impl/DMNResultImpl.java,4155,252,7
3,org.kie.dmn.core.impl.DMNModelImpl.isDuplicateEvent,kie-dmn/kie-dmn-core/src/main/java/org/kie/dmn/core/impl/DMNModelImpl.java,2501,221,184
5,org.kie.dmn.core.ast.DMNBaseNode.compileRelation,kie-dmn/kie-dmn-core/src/main/java/org/kie/dmn/core/ast/DMNBaseNode.java,4646,148,94
8,org.kie.dmn.core.compiler.DMNCompilerImpl.compileNode,kie-dmn/kie-dmn-core/src/main/java/org/kie/dmn/core/compiler/DMNCompilerImpl.java,29944,212,188
9,org.kie.dmn.feel.lang.ast.IterationContextNode.createQuantifiedExpressionIterationContext,kie-dmn/kie-dmn-feel/src/main/java/org/kie/dmn/feel/lang/ast/IterationContextNode.java,2509,42,245
10,org.kie.dmn.feel.lang.ast.BaseNode.getFunctionName,kie-dmn/kie-dmn-feel/src/main/java/org/kie/dmn/feel/lang/ast/BaseNode.java,4667,64,137
14,org.kie.dmn.feel.codegen.feel11.DirectCompilerResult.isNumericConstant,kie-dmn/kie-dmn-feel/src/main/java/org/kie/dmn/feel/codegen/feel11/DirectCompilerResult.java,3258,152,244
20,org.kie.dmn.feel.runtime.decisiontables.DTDecisionRule.hitToOutput,kie-dmn/kie-dmn-feel/src/main/java/org/kie/dmn/feel/runtime/decisiontables/DTDecisionRule.java,2987,142,182
21,org.kie.pmml.pmml_4_2.model.mining.MiningSegmentation.getModel,kie-pmml/src/main/java/org/kie/pmml/pmml_4_2/model/mining/MiningSegmentation.java,8976,29,199
22,org.drools.core.xml.ExtensibleXmlParser.emptyAttributeCheck,drools-core/src/main/java/org/drools/core/xml/ExtensibleXmlParser.java,15008,34,19
24,org.drools.core.rule.Declaration.replaceDeclaration,drools-core/src/main/java/org/drools/core/rule/Declaration.java,12049,134,86
25,org.drools.core.base.evaluators.Operator.getEvaluator,drools-core/src/main/java/org/drools/core/base/evaluators/Operator.java,8344,193,169
27,org.drools.core.base.ClassObjectType.getClassObjectType,drools-core/src/main/java/org/drools/core/base/ClassObjectType.java,7029,210,250
30,org.drools.core.impl.StatefulKnowledgeSessionImpl.internalInitSession,drools-core/src/main/java/org/drools/core/impl/StatefulKnowledgeSessionImpl.java,22700,18,0
34,org.drools.core.rule.MutableTypeConstraint.setConstraintType,drools-core/src/main/java/org/drools/core/rule/MutableTypeConstraint.java,2090,144,196
36,org.drools.core.rule.GroupElement.splitOr,drools-core/src/main/java/org/drools/core/rule/GroupElement.java,11899,220,106
40,org.drools.core.common.EventFactHandle.isExpiredOther,drools-core/src/main/java/org/drools/core/common/EventFactHandle.java,10736,2,136
41,org.drools.core.util.KeyStoreHelper.sign,drools-core/src/main/java/org/drools/core/util/KeyStoreHelper.java,9839,135,167
44,org.drools.core.time.impl.CronExpression.setCronExpression,drools-core/src/main/java/org/drools/core/time/impl/CronExpression.java,58203,26,234
46,org.drools.core.util.index.TupleList.matches,drools-core/src/main/java/org/drools/core/util/index/TupleList.java,5181,14,209
48,org.drools.core.common.EqualityKey.deleteFromTMS,drools-core/src/main/java/org/drools/core/common/EqualityKey.java,5099,149,69
52,org.drools.core.definitions.rule.impl.RuleImpl.addLogicalDependency,drools-core/src/main/java/org/drools/core/definitions/rule/impl/RuleImpl.java,27993,65,32
53,org.drools.core.reteoo.RuleTerminalNode.cancelAndContinue,drools-core/src/main/java/org/drools/core/reteoo/RuleTerminalNode.java,10136,237,171
55,org.drools.core.reteoo.BetaMemory.doNode,drools-core/src/main/java/org/drools/core/reteoo/BetaMemory.java,5454,70,197
58,org.drools.core.reteoo.EvalConditionNode.doNode,drools-core/src/main/java/org/drools/core/reteoo/EvalConditionNode.java,7631,83,133
60,org.drools.core.reteoo.JoinNode.doNode,drools-core/src/main/java/org/drools/core/reteoo/JoinNode.java,4655,228,49
65,org.drools.core.phreak.StackEntry.doNode,drools-core/src/main/java/org/drools/core/phreak/StackEntry.java,3040,89,162
68,org.drools.core.reteoo.TimerNode.createTrigger,drools-core/src/main/java/org/drools/core/reteoo/TimerNode.java,9147,13,79
69,org.drools.core.reteoo.ConditionalBranchNode.doNode,drools-core/src/main/java/org/drools/core/reteoo/ConditionalBranchNode.java,7009,190,48
71,org.drools.core.reteoo.ExistsNode.doNode,drools-core/src/main/java/org/drools/core/reteoo/ExistsNode.java,5733,207,170
74,org.drools.core.reteoo.AccumulateNode.evaluateResultConstraints,drools-core/src/main/java/org/drools/core/reteoo/AccumulateNode.java,10508,113,23
75,org.drools.core.reteoo.PathMemory.outerEval,drools-core/src/main/java/org/drools/core/reteoo/PathMemory.java,8036,131,249
81,org.drools.core.reteoo.QueryTerminalNode.doNode,drools-core/src/main/java/org/drools/core/reteoo/QueryTerminalNode.java,9128,96,9
85,org.drools.core.common.BaseNode.mergeNodes,drools-core/src/main/java/org/drools/core/common/BaseNode.java,7344,75,110
89,org.drools.core.util.ObjectHashMap.getFirstAlphaNode,drools-core/src/main/java/org/drools/core/util/ObjectHashMap.java,5085,132,37
91,org.drools.core.rule.EntryPointId.getObjectTypeNodes,drools-core/src/main/java/org/drools/core/rule/EntryPointId.java,4304,115,5
92,org.drools.core.reteoo.builder.BuildContext.getObjectTypeNode,drools-core/src/main/java/org/drools/core/reteoo/builder/BuildContext.java,14721,226,101
101,org.drools.core.reteoo.WindowTuple.addFirstWindowTuple,drools-core/src/main/java/org/drools/core/reteoo/WindowTuple.java,1877,216,160
105,org.drools.core.factmodel.traits.TraitProxy.sameAndNotCoveredByDescendants,drools-core/src/main/java/org/drools/core/factmodel/traits/TraitProxy.java,5375,178,11
108,org.drools.core.reteoo.AsyncMessage.propagate,drools-core/src/main/java/org/drools/core/reteoo/AsyncMessage.java,1149,68,183
109,org.drools.core.reteoo.ModifyPreviousTuples.propagateModifyObjectForPartition,drools-core/src/main/java/org/drools/core/reteoo/ModifyPreviousTuples.java,3037,128,17
110,org.drools.core.factmodel.traits.TypeWrapper.get,drools-core/src/main/java/org/drools/core/factmodel/traits/TypeWrapper.java,1913,120,20
111,org.drools.core.factmodel.ClassDefinition.getTraitInterfaces,drools-core/src/main/java/org/drools/core/factmodel/ClassDefinition.java,1411,84,201
113,org.drools.core.factmodel.FieldDefinition.buildSetter,drools-core/src/main/java/org/drools/core/factmodel/FieldDefinition.java,16756,118,251
137,org.drools.core.factmodel.EnumLiteralDefinition.addLiteral,drools-core/src/main/java/org/drools/core/factmodel/EnumLiteralDefinition.java,2947,205,108
139,org.drools.modelcompiler.builder.generator.RuleContext.addBindingAsDeclaration,drools-model/drools-model-compiler/src/main/java/org/drools/modelcompiler/builder/generator/RuleContext.java,3460,77,71
143,org.drools.modelcompiler.CanonicalKiePackages.mergeProcesses,drools-model/drools-model-compiler/src/main/java/org/drools/modelcompiler/CanonicalKiePackages.java,1495,117,229
144,org.drools.beliefs.bayes.JunctionTreeClique.recurseJTNodesAndInitialisePotentials,drools-beliefs/src/main/java/org/drools/beliefs/bayes/JunctionTreeClique.java,3404,153,55
145,org.drools.compiler.rule.builder.dialect.java.JavaDialectConfiguration.createCompiler,drools-compiler/src/main/java/org/drools/compiler/rule/builder/dialect/java/JavaDialectConfiguration.java,2626,116,163
146,org.drools.compiler.compiler.io.memory.MemoryFileSystem.cloneForIncrementalCompilation,drools-compiler/src/main/java/org/drools/compiler/compiler/io/memory/MemoryFileSystem.java,20568,111,236
147,org.drools.compiler.kie.util.KieJarChangeSet.getModifiedClasses,drools-compiler/src/main/java/org/drools/compiler/kie/util/KieJarChangeSet.java,2576,174,218
149,org.drools.compiler.kie.builder.impl.ResultsImpl.buildKnowledgePackages,drools-compiler/src/main/java/org/drools/compiler/kie/builder/impl/ResultsImpl.java,3524,248,8
151,org.drools.compiler.lang.descr.PatternDescr.lookAheadFieldsOfIdentifier,drools-compiler/src/main/java/org/drools/compiler/lang/descr/PatternDescr.java,8488,146,242
155,org.drools.compiler.lang.descr.BaseDescr.copyParameters,drools-compiler/src/main/java/org/drools/compiler/lang/descr/BaseDescr.java,4777,76,200
156,org.drools.compiler.lang.descr.EnumLiteralDescr.addLiteral,drools-compiler/src/main/java/org/drools/compiler/lang/descr/EnumLiteralDescr.java,2980,50,24
157,org.drools.compiler.lang.descr.PackageDescr.internalAdd,drools-compiler/src/main/java/org/drools/compiler/lang/descr/PackageDescr.java,10914,85,38
159,org.drools.compiler.lang.descr.TypeFieldDescr.addField,drools-compiler/src/main/java/org/drools/compiler/lang/descr/TypeFieldDescr.java,4293,98,238
160,org.drools.compiler.lang.descr.ExprConstraintDescr.processConstraint,drools-compiler/src/main/java/org/drools/compiler/lang/descr/ExprConstraintDescr.java,1048,66,123
165,org.drools.compiler.lang.DroolsToken.addContent,drools-compiler/src/main/java/org/drools/compiler/lang/DroolsToken.java,2316,90,175
166,org.drools.compiler.compiler.BoundIdentifiers.analyze,drools-compiler/src/main/java/org/drools/compiler/compiler/BoundIdentifiers.java,5253,143,179
167,org.drools.compiler.rule.builder.RuleBuildContext.internalAddRule,drools-compiler/src/main/java/org/drools/compiler/rule/builder/RuleBuildContext.java,8260,158,10
178,org.drools.compiler.lang.descr.TypeDeclarationDescr.buildInheritedFieldDescrFromDefinition,drools-compiler/src/main/java/org/drools/compiler/lang/descr/TypeDeclarationDescr.java,4229,22,139
181,org.drools.compiler.compiler.PackageRegistry.finalizeOther,drools-compiler/src/main/java/org/drools/compiler/compiler/PackageRegistry.java,4504,109,74
185,org.drools.compiler.commons.jci.compilers.JavaCompilerSettings.updateSettings,drools-compiler/src/main/java/org/drools/compiler/commons/jci/compilers/JavaCompilerSettings.java,3096,231,100
186,org.drools.compiler.lang.dsl.DefaultExpanderResolver.getExpandedDRL,drools-compiler/src/main/java/org/drools/compiler/lang/dsl/DefaultExpanderResolver.java,3600,57,189
188,org.drools.games.pong.Ball.drawBall,drools-examples/src/main/java/org/drools/games/pong/Ball.java,1855,45,54
190,org.drools.games.adventures.UserSession.receiveMessage,drools-examples/src/main/java/org/drools/games/adventures/UserSession.java,2484,36,138
191,org.drools.examples.templates.FeeScheduleType.createRule,drools-examples/src/main/java/org/drools/examples/templates/FeeScheduleType.java,940,58,157
192,org.drools.verifier.core.index.model.Column.remove,drools-verifier/drools-verifier-core/src/main/java/org/drools/verifier/core/index/model/Column.java,2930,168,147
193,org.drools.verifier.core.index.model.Rule.remove,drools-verifier/drools-verifier-core/src/main/java/org/drools/verifier/core/index/model/Rule.java,5210,203,4
