id,name,file,offset
0,org.elasticsearch.cluster.node.DiscoveryNode,server\src\main\java\org\elasticsearch\cluster\node\DiscoveryNode.java,1528
1,org.elasticsearch.xpack.core.security.authc.support.mapper.TemplateRoleName,x-pack\plugin\core\src\main\java\org\elasticsearch\xpack\core\security\authc\support\mapper\TemplateRoleName.java,2019
2,org.elasticsearch.common.transport.BoundTransportAddress,server\src\main\java\org\elasticsearch\common\transport\BoundTransportAddress.java,1030
3,org.elasticsearch.index.seqno.GlobalCheckpointSyncAction,server\src\main\java\org\elasticsearch\index\seqno\GlobalCheckpointSyncAction.java,2115
4,org.elasticsearch.search.SearchModule,server\src\main\java\org\elasticsearch\search\SearchModule.java,19088
5,org.elasticsearch.xpack.core.ccr.action.FollowParameters,x-pack\plugin\core\src\main\java\org\elasticsearch\xpack\core\ccr\action\FollowParameters.java,1033
6,org.elasticsearch.action.termvectors.MultiTermVectorsRequest,server\src\main\java\org\elasticsearch\action\termvectors\MultiTermVectorsRequest.java,1608
7,org.elasticsearch.cluster.routing.allocation.command.AllocationCommands,server\src\main\java\org\elasticsearch\cluster\routing\allocation\command\AllocationCommands.java,1511
8,org.elasticsearch.index.get.ShardGetService,server\src\main\java\org\elasticsearch\index\get\ShardGetService.java,2753
9,org.elasticsearch.geo.geometry.Polygon,libs\geo\src\main\java\org\elasticsearch\geo\geometry\Polygon.java,911
10,org.elasticsearch.xpack.security.authc.TokenService,x-pack\plugin\security\src\main\java\org\elasticsearch\xpack\security\authc\TokenService.java,6925
11,org.elasticsearch.xpack.sql.analysis.analyzer.PreAnalyzer,x-pack\plugin\sql\src\main\java\org\elasticsearch\xpack\sql\analysis\analyzer\PreAnalyzer.java,528
12,org.elasticsearch.xpack.core.watcher.execution.WatchExecutionContext,x-pack\plugin\core\src\main\java\org\elasticsearch\xpack\core\watcher\execution\WatchExecutionContext.java,1334
13,org.elasticsearch.gateway.MetaStateService,server\src\main\java\org\elasticsearch\gateway\MetaStateService.java,1474
14,org.elasticsearch.cluster.metadata.RepositoryMetaData,server\src\main\java\org\elasticsearch\cluster\metadata\RepositoryMetaData.java,1026
15,org.elasticsearch.index.analysis.NamedAnalyzer,server\src\main\java\org\elasticsearch\index\analysis\NamedAnalyzer.java,1072
16,org.elasticsearch.cluster.metadata.IndexNameExpressionResolver,server\src\main\java\org\elasticsearch\cluster\metadata\IndexNameExpressionResolver.java,2237
17,org.elasticsearch.script.mustache.SearchTemplateRequest,modules\lang-mustache\src\main\java\org\elasticsearch\script\mustache\SearchTemplateRequest.java,1789
18,org.elasticsearch.analysis.common.WordDelimiterTokenFilterFactory,modules\analysis-common\src\main\java\org\elasticsearch\analysis\common\WordDelimiterTokenFilterFactory.java,2558
19,org.elasticsearch.painless.node.AExpression,modules\lang-painless\src\main\java\org\elasticsearch\painless\node\AExpression.java,1115
20,org.elasticsearch.xpack.ml.action.TransportDeleteJobAction,x-pack\plugin\ml\src\main\java\org\elasticsearch\xpack\ml\action\TransportDeleteJobAction.java,4696
21,org.elasticsearch.xpack.security.authc.ApiKeyService,x-pack\plugin\security\src\main\java\org\elasticsearch\xpack\security\authc\ApiKeyService.java,4941
22,org.elasticsearch.xpack.core.security.action.user.HasPrivilegesRequest,x-pack\plugin\core\src\main\java\org\elasticsearch\xpack\core\security\action\user\HasPrivilegesRequest.java,879
23,org.elasticsearch.cluster.routing.allocation.RoutingAllocation,server\src\main\java\org\elasticsearch\cluster\routing\allocation\RoutingAllocation.java,1801
24,org.elasticsearch.analysis.common.WordDelimiterGraphTokenFilterFactory,modules\analysis-common\src\main\java\org\elasticsearch\analysis\common\WordDelimiterGraphTokenFilterFactory.java,2531
