id,name,file,offset,containing_class_id,target_ids
0,org.elasticsearch.geo.geometry.Polygon.checkRing,libs\geo\src\main\java\org\elasticsearch\geo\geometry\Polygon.java,2357,9,231
1,org.elasticsearch.client.ml.datafeed.DatafeedUpdate.addOptionalField,client\rest-high-level\src\main\java\org\elasticsearch\client\ml\datafeed\DatafeedUpdate.java,7389,75,284
2,org.elasticsearch.client.indices.rollover.RolloverRequest.addMaxIndexAgeCondition,client\rest-high-level\src\main\java\org\elasticsearch\client\indices\rollover\RolloverRequest.java,2941,290,286
3,org.elasticsearch.client.indices.rollover.RolloverRequest.addMaxIndexSizeCondition,client\rest-high-level\src\main\java\org\elasticsearch\client\indices\rollover\RolloverRequest.java,3964,290,41
4,org.elasticsearch.client.indices.CreateIndexRequest.aliases,client\rest-high-level\src\main\java\org\elasticsearch\client\indices\CreateIndexRequest.java,7923,128,105 27
5,org.elasticsearch.client.indices.CreateIndexRequest.alias,client\rest-high-level\src\main\java\org\elasticsearch\client\indices\CreateIndexRequest.java,8727,128,129
6,org.elasticsearch.client.indices.CreateIndexRequest.source,client\rest-high-level\src\main\java\org\elasticsearch\client\indices\CreateIndexRequest.java,9785,128,105 27
7,org.elasticsearch.client.indices.PutIndexTemplateRequest.aliases,client\rest-high-level\src\main\java\org\elasticsearch\client\indices\PutIndexTemplateRequest.java,13399,264,27
8,org.elasticsearch.client.indices.PutIndexTemplateRequest.alias,client\rest-high-level\src\main\java\org\elasticsearch\client\indices\PutIndexTemplateRequest.java,14170,264,129
9,org.elasticsearch.client.security.support.expressiondsl.parser.RoleMapperExpressionParser.parseArray,client\rest-high-level\src\main\java\org\elasticsearch\client\security\support\expressiondsl\parser\RoleMapperExpressionParser.java,7646,197,284
10,org.elasticsearch.env.NodeEnvironment.isShardLocked,server\src\main\java\org\elasticsearch\env\NodeEnvironment.java,21161,251,156
11,org.elasticsearch.env.NodeEnvironment.deleteIndexDirectorySafe,server\src\main\java\org\elasticsearch\env\NodeEnvironment.java,21411,251,172 30
12,org.elasticsearch.env.NodeRepurposeCommand.outputHowToSeeVerboseInformation,server\src\main\java\org\elasticsearch\env\NodeRepurposeCommand.java,6977,136,54
13,org.elasticsearch.env.NodeRepurposeCommand.rewriteManifest,server\src\main\java\org\elasticsearch\env\NodeRepurposeCommand.java,8323,136,278 54
14,org.elasticsearch.env.NodeRepurposeCommand.removePaths,server\src\main\java\org\elasticsearch\env\NodeRepurposeCommand.java,9181,136,54
15,org.elasticsearch.node.Node.writePortsFile,server\src\main\java\org\elasticsearch\node\Node.java,52531,132,2
16,org.elasticsearch.rest.RestController.registerAsDeprecatedHandler,server\src\main\java\org\elasticsearch\rest\RestController.java,3789,113,280
17,org.elasticsearch.rest.RestController.registerWithDeprecatedHandler,server\src\main\java\org\elasticsearch\rest\RestController.java,4619,113,280
18,org.elasticsearch.rest.RestController.checkErrorTraceParameter,server\src\main\java\org\elasticsearch\rest\RestController.java,14702,113,84
19,org.elasticsearch.rest.RestController.handleOptionsRequest,server\src\main\java\org\elasticsearch\rest\RestController.java,18531,113,84
20,org.elasticsearch.rest.RestController.handleBadRequest,server\src\main\java\org\elasticsearch\rest\RestController.java,19792,113,84
21,org.elasticsearch.rest.RestController.handleFavicon,server\src\main\java\org\elasticsearch\rest\RestController.java,21186,113,84
22,org.elasticsearch.rest.BaseRestHandler.unrecognized,server\src\main\java\org\elasticsearch\rest\BaseRestHandler.java,4936,270,84
23,org.elasticsearch.index.get.GetResult.readFields,server\src\main\java\org\elasticsearch\index\get\GetResult.java,13788,281,50
24,org.elasticsearch.index.get.GetResult.writeFields,server\src\main\java\org\elasticsearch\index\get\GetResult.java,16513,281,218
25,org.elasticsearch.index.get.ShardGetService.normalizeFetchSourceContent,server\src\main\java\org\elasticsearch\index\get\ShardGetService.java,6543,8,120
26,org.elasticsearch.index.query.QueryShardContext.getSearchAnalyzer,server\src\main\java\org\elasticsearch\index\query\QueryShardContext.java,9489,165,81
27,org.elasticsearch.index.query.QueryShardContext.getSearchQuoteAnalyzer,server\src\main\java\org\elasticsearch\index\query\QueryShardContext.java,9913,165,81
28,org.elasticsearch.index.seqno.GlobalCheckpointSyncAction.maybeSyncTranslog,server\src\main\java\org\elasticsearch\index\seqno\GlobalCheckpointSyncAction.java,5104,3,28
29,org.elasticsearch.index.shard.IndexShard.prepareDelete,server\src\main\java\org\elasticsearch\index\shard\IndexShard.java,48529,28,189
30,org.elasticsearch.index.shard.IndexShard.startRecovery,server\src\main\java\org\elasticsearch\index\shard\IndexShard.java,112053,28,254 77 275 69
31,org.elasticsearch.index.shard.RemoveCorruptedShardDataCommand.warnAboutESShouldBeStopped,server\src\main\java\org\elasticsearch\index\shard\RemoveCorruptedShardDataCommand.java,11502,40,54
32,org.elasticsearch.index.shard.RemoveCorruptedShardDataCommand.addNewHistoryCommit,server\src\main\java\org\elasticsearch\index\shard\RemoveCorruptedShardDataCommand.java,18831,40,54
33,org.elasticsearch.index.shard.RemoveCorruptedShardDataCommand.getNodePath,server\src\main\java\org\elasticsearch\index\shard\RemoveCorruptedShardDataCommand.java,23392,40,243
34,org.elasticsearch.index.shard.RemoveCorruptedLuceneSegmentsAction.getCleanStatus,server\src\main\java\org\elasticsearch\index\shard\RemoveCorruptedLuceneSegmentsAction.java,1251,139,243
35,org.elasticsearch.index.shard.RemoveCorruptedLuceneSegmentsAction.execute,server\src\main\java\org\elasticsearch\index\shard\RemoveCorruptedLuceneSegmentsAction.java,2883,139,54 243
36,org.elasticsearch.index.store.Store.createVerifyingOutput,server\src\main\java\org\elasticsearch\index\store\Store.java,23427,143,241
37,org.elasticsearch.index.store.Store.openVerifyingInput,server\src\main\java\org\elasticsearch\index\store\Store.java,24544,143,241
38,org.elasticsearch.index.engine.Segment.readSegmentSort,server\src\main\java\org\elasticsearch\index\engine\Segment.java,6143,233,50
39,org.elasticsearch.index.engine.Segment.writeSegmentSort,server\src\main\java\org\elasticsearch\index\engine\Segment.java,8324,233,218
40,org.elasticsearch.index.mapper.ObjectMapper.getParentObjectMapper,server\src\main\java\org\elasticsearch\index\mapper\ObjectMapper.java,15760,68,161
