id,name,file,offset
0,org.apache.hadoop.hbase.regionserver.HStoreFile,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStoreFile.java,1954
1,org.apache.hadoop.hbase.regionserver.CSLMImmutableSegment,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/CSLMImmutableSegment.java,957
2,org.apache.hadoop.hbase.master.procedure.ReopenTableRegionsProcedure,hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/ReopenTableRegionsProcedure.java,1980
3,org.apache.hadoop.hbase.thrift2.generated.TDeleteType,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TDeleteType.java,192
4,org.apache.hadoop.hbase.thrift2.generated.TBloomFilterType,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TBloomFilterType.java,192
5,org.apache.hadoop.hbase.regionserver.HStore,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java,5790
6,org.apache.hadoop.hbase.master.procedure.MasterProcedureEnv,hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/MasterProcedureEnv.java,1972
7,org.apache.hadoop.hbase.favored.FavoredNodeLoadBalancer,hbase-server/src/main/java/org/apache/hadoop/hbase/favored/FavoredNodeLoadBalancer.java,2290
8,org.apache.hadoop.hbase.io.hfile.HFileReaderImpl,hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileReaderImpl.java,2935
9,org.apache.hadoop.hbase.master.assignment.RegionStateNode,hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionStateNode.java,1810
10,org.apache.hadoop.hbase.master.assignment.AssignmentManager,hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/AssignmentManager.java,4414
11,org.apache.hadoop.hbase.thrift.generated.TColumn,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift/generated/TColumn.java,190
12,org.apache.hadoop.hbase.thrift2.generated.TDataBlockEncoding,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TDataBlockEncoding.java,192
13,org.apache.hadoop.hbase.thrift.generated.BatchMutation,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift/generated/BatchMutation.java,190
14,org.apache.hadoop.hbase.backup.BackupInfo,hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/BackupInfo.java,1624
15,org.apache.hadoop.hbase.monitoring.StateDumpServlet,hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/StateDumpServlet.java,1296
16,org.apache.hadoop.hbase.regionserver.compactions.FIFOCompactionPolicy,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/FIFOCompactionPolicy.java,1373
17,org.apache.hadoop.hbase.thrift2.generated.TGet,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TGet.java,191
18,org.apache.hadoop.hbase.regionserver.SegmentFactory,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/SegmentFactory.java,1082
19,org.apache.hadoop.hbase.thrift2.generated.TColumnIncrement,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TColumnIncrement.java,191
20,org.apache.hadoop.hbase.master.assignment.RegionStates,hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionStates.java,2038
21,org.apache.hadoop.hbase.master.procedure.RestoreSnapshotProcedure,hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/RestoreSnapshotProcedure.java,2972
22,org.apache.hadoop.hbase.procedure2.store.wal.ProcedureWALFormatReader,hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/store/wal/ProcedureWALFormatReader.java,1373
23,org.apache.hadoop.hbase.thrift2.generated.TTableName,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TTableName.java,191
24,org.apache.hadoop.hbase.master.assignment.RegionTransitionProcedure,hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionTransitionProcedure.java,2031
25,org.apache.hadoop.hbase.thrift2.generated.TPut,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TPut.java,191
26,org.apache.hadoop.hbase.util.FSTableDescriptors,hbase-server/src/main/java/org/apache/hadoop/hbase/util/FSTableDescriptors.java,2506
27,org.apache.hadoop.hbase.rest.model.CellSetModel,hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/model/CellSetModel.java,1569
28,org.apache.hadoop.hbase.thrift2.generated.TMutation,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TMutation.java,191
29,org.apache.hadoop.hbase.rest.client.Client,hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/client/Client.java,2188
30,org.apache.hadoop.hbase.thrift.generated.TCell,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift/generated/TCell.java,190
31,org.apache.hadoop.hbase.wal.WALEdit,hbase-server/src/main/java/org/apache/hadoop/hbase/wal/WALEdit.java,1977
32,org.apache.hadoop.hbase.security.visibility.expression.Operator,hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/expression/Operator.java,925
33,org.apache.hadoop.hbase.master.MetricsMaster,hbase-server/src/main/java/org/apache/hadoop/hbase/master/MetricsMaster.java,1289
34,org.apache.hadoop.hbase.thrift2.generated.TColumnValue,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TColumnValue.java,191
35,org.apache.hadoop.hbase.backup.impl.BackupSystemTable,hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/BackupSystemTable.java,3226
36,org.apache.hadoop.hbase.thrift2.generated.TAppend,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TAppend.java,191
37,org.apache.hadoop.hbase.rest.client.RemoteAdmin,hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/client/RemoteAdmin.java,1747
38,org.apache.hadoop.hbase.rest.client.RemoteHTable,hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/client/RemoteHTable.java,3355
39,org.apache.hadoop.hbase.master.balancer.FavoredStochasticBalancer,hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredStochasticBalancer.java,2478
40,org.apache.hadoop.hbase.security.visibility.expression.LeafExpressionNode,hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/expression/LeafExpressionNode.java,925
41,org.apache.hadoop.hbase.thrift2.generated.TKeepDeletedCells,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TKeepDeletedCells.java,192
42,org.apache.hadoop.hbase.master.assignment.TransitRegionStateProcedure,hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/TransitRegionStateProcedure.java,2782
43,org.apache.hadoop.hbase.rest.client.Cluster,hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/client/Cluster.java,991
44,org.apache.hadoop.hbase.security.visibility.expression.NonLeafExpressionNode,hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/expression/NonLeafExpressionNode.java,1007
45,org.apache.hadoop.hbase.thrift2.generated.TServerName,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TServerName.java,191
46,org.apache.hadoop.hbase.regionserver.MemStoreSize,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreSize.java,960
47,org.apache.hadoop.hbase.backup.impl.BackupAdminImpl,hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/BackupAdminImpl.java,2321
48,org.apache.hadoop.hbase.thrift2.generated.TResult,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TResult.java,191
49,org.apache.hadoop.hbase.regionserver.HRegion,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java,10781
50,org.apache.hadoop.hbase.thrift2.generated.TScan,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TScan.java,191
51,org.apache.hadoop.hbase.thrift2.generated.TDurability,hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TDurability.java,192
52,org.apache.hadoop.hbase.master.assignment.SplitTableRegionProcedure,hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/SplitTableRegionProcedure.java,3930
53,org.apache.hadoop.hbase.security.visibility.ExpressionParser,hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/ExpressionParser.java,1392
