id,name,file,offset,original_class_id,target_class_id
0,org.apache.hadoop.hbase.rest.client.Cluster.execute,hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/client/Cluster.java,2940,29,43
11,org.apache.hadoop.hbase.rest.client.Response.getInputStream,hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/client/Response.java,4139,37,67
12,org.apache.hadoop.hbase.rest.model.CellSetModel.buildResultFromModel,hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/model/CellSetModel.java,5058,38,27
13,org.apache.hadoop.hbase.backup.BackupInfo.getAncestors,hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/BackupInfo.java,1988,63,14
14,org.apache.hadoop.hbase.backup.impl.BackupSystemTable.finalizeDelete,hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/BackupSystemTable.java,4134,47,35
19,org.apache.hadoop.hbase.HRegionLocation.remove,hbase-client/src/main/java/org/apache/hadoop/hbase/HRegionLocation.java,3957,54,86
20,org.apache.hadoop.hbase.io.hfile.HFileBlock.validateBlockType,hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileBlock.java,5888,8,80
21,org.apache.hadoop.hbase.util.FSTableDescriptors.fabricateTableInfo,hbase-server/src/main/java/org/apache/hadoop/hbase/util/FSTableDescriptors.java,30339,77,26
22,org.apache.hadoop.hbase.favored.FavoredNodeAssignmentHelper.getInheritedFNForDaughter,hbase-server/src/main/java/org/apache/hadoop/hbase/favored/FavoredNodeAssignmentHelper.java,34740,39,72
23,org.apache.hadoop.hbase.master.procedure.MasterProcedureEnv.getRegionInfoList,hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/MasterProcedureEnv.java,2261,65,6
25,org.apache.hadoop.hbase.master.MasterFileSystem.moveTempMobDirectoryToHBaseRoot,hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterFileSystem.java,18326,83,57
29,org.apache.hadoop.hbase.master.assignment.RegionStateNode.createSnapshot,hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionStateNode.java,3902,20,9
39,org.apache.hadoop.hbase.regionserver.HRegionFileSystem.mergeStoreFiles,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionFileSystem.java,47996,66,85
42,org.apache.hadoop.hbase.master.HMaster.dumpRIT,hbase-server/src/main/java/org/apache/hadoop/hbase/master/HMaster.java,14353,62,59
46,org.apache.hadoop.hbase.security.visibility.expression.LeafExpressionNode.processLabelExpNode,hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/expression/LeafExpressionNode.java,2149,53,40
