id,name,file,offset
0,org.apache.hadoop.hive.ql.plan.ptf.WindowFunctionDef,ql/src/java/org/apache/hadoop/hive/ql/plan/ptf/WindowFunctionDef.java,1019
1,org.apache.hive.service.rpc.thrift.TColumnValue,service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TColumnValue.java,1059
2,org.apache.hadoop.hive.serde2.io.HiveCharWritable,serde/src/java/org/apache/hadoop/hive/serde2/io/HiveCharWritable.java,1140
3,org.apache.hadoop.hive.ql.metadata.Partition,ql/src/java/org/apache/hadoop/hive/ql/metadata/Partition.java,2040
4,org.apache.hadoop.hive.ql.optimizer.spark.SparkSMBJoinHintOptimizer,ql/src/java/org/apache/hadoop/hive/ql/optimizer/spark/SparkSMBJoinHintOptimizer.java,1754
5,org.apache.hadoop.hive.metastore.api.WMMapping,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMMapping.java,1061
6,org.apache.hadoop.hive.metastore.api.SetPartitionsStatsRequest,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/SetPartitionsStatsRequest.java,1061
7,org.apache.hadoop.hive.metastore.api.CommitTxnRequest,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/CommitTxnRequest.java,1061
8,org.apache.hadoop.hive.metastore.api.SQLCheckConstraint,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/SQLCheckConstraint.java,1061
9,org.apache.hadoop.hive.ql.exec.vector.IntervalDayTimeColumnVector,storage-api/src/java/org/apache/hadoop/hive/ql/exec/vector/IntervalDayTimeColumnVector.java,982
10,org.apache.hadoop.hive.ql.exec.vector.expressions.IfExprCondExprBase,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprCondExprBase.java,1125
11,org.apache.hadoop.hive.ql.metadata.HiveException,ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveException.java,1039
12,org.apache.hadoop.hive.ql.exec.tez.DagUtils,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DagUtils.java,7675
13,org.apache.hadoop.hive.serde2.dynamic_type.SimpleCharStream,serde/src/java/org/apache/hadoop/hive/serde2/dynamic_type/SimpleCharStream.java,137
14,org.apache.hadoop.hive.metastore.api.WMFullResourcePlan,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMFullResourcePlan.java,1061
15,org.apache.hadoop.hive.metastore.api.WMGetTriggersForResourePlanResponse,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMGetTriggersForResourePlanResponse.java,1061
16,org.apache.hadoop.hive.ql.security.authorization.Privilege,ql/src/java/org/apache/hadoop/hive/ql/security/authorization/Privilege.java,1045
17,org.apache.hadoop.hive.ql.plan.ptf.WindowTableFunctionDef,ql/src/java/org/apache/hadoop/hive/ql/plan/ptf/WindowTableFunctionDef.java,924
18,org.apache.hadoop.hive.ql.plan.ptf.WindowFrameDef,ql/src/java/org/apache/hadoop/hive/ql/plan/ptf/WindowFrameDef.java,1118
19,org.apache.hadoop.hive.metastore.api.Type,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/Type.java,1061
20,org.apache.hadoop.hive.ql.parse.ReplicationSpec,ql/src/java/org/apache/hadoop/hive/ql/parse/ReplicationSpec.java,1116
21,org.apache.hadoop.hive.ql.exec.vector.VectorMapOperator,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorMapOperator.java,3369
22,org.apache.hadoop.hive.metastore.api.Table,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/Table.java,1061
23,org.apache.hadoop.hive.ql.stats.StatsCollectionContext,ql/src/java/org/apache/hadoop/hive/ql/stats/StatsCollectionContext.java,1160
24,org.apache.hadoop.hive.common.type.UnsignedInt128,common/src/java/org/apache/hadoop/hive/common/type/UnsignedInt128.java,1049
25,org.apache.hadoop.hive.ql.exec.vector.LongColumnVector,storage-api/src/java/org/apache/hadoop/hive/ql/exec/vector/LongColumnVector.java,880
26,org.apache.hadoop.hive.ql.exec.persistence.MapJoinBytesTableContainer,ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinBytesTableContainer.java,3640
27,org.apache.hadoop.hive.ql.optimizer.calcite.stats.HiveRelMdCollation,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdCollation.java,1802
28,org.apache.hadoop.hive.serde2.avro.AvroObjectInspectorGenerator,serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroObjectInspectorGenerator.java,1672
29,org.apache.hive.common.util.DateParser,common/src/java/org/apache/hive/common/util/DateParser.java,893
30,org.apache.hadoop.hive.ql.exec.UnionOperator,ql/src/java/org/apache/hadoop/hive/ql/exec/UnionOperator.java,1573
31,org.apache.hadoop.hive.ql.optimizer.DynamicPartitionPruningOptimization,ql/src/java/org/apache/hadoop/hive/ql/optimizer/DynamicPartitionPruningOptimization.java,4468
32,org.apache.hadoop.hive.ql.plan.FilterDesc,ql/src/java/org/apache/hadoop/hive/ql/plan/FilterDesc.java,1104
33,org.apache.hadoop.hive.ql.optimizer.calcite.stats.HiveRelMdSelectivity,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdSelectivity.java,2072
34,org.apache.hadoop.hive.ql.exec.PTFPartition,ql/src/java/org/apache/hadoop/hive/ql/exec/PTFPartition.java,1632
35,org.apache.hadoop.hive.ql.plan.CreateFunctionDesc,ql/src/java/org/apache/hadoop/hive/ql/plan/CreateFunctionDesc.java,1068
36,org.apache.hadoop.hive.ql.exec.PTFRollingPartition,ql/src/java/org/apache/hadoop/hive/ql/exec/PTFRollingPartition.java,1365
37,org.apache.hive.hplsql.Var,hplsql/src/main/java/org/apache/hive/hplsql/Var.java,1070
38,org.apache.hadoop.hive.metastore.api.WMPoolTrigger,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMPoolTrigger.java,1061
39,org.apache.hadoop.hive.ql.metadata.Hive,ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,7302
40,org.apache.hadoop.hive.ql.exec.ColumnInfo,ql/src/java/org/apache/hadoop/hive/ql/exec/ColumnInfo.java,1185
41,org.apache.hadoop.hive.metastore.api.AddCheckConstraintRequest,standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/AddCheckConstraintRequest.java,1061
42,org.apache.hadoop.hive.ql.optimizer.physical.AbstractJoinTaskDispatcher,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/AbstractJoinTaskDispatcher.java,1610
43,org.apache.hive.service.cli.CLIService,service/src/java/org/apache/hive/service/cli/CLIService.java,2279
44,org.apache.hadoop.hive.ql.exec.MapJoinOperator,ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java,4597
45,org.apache.hadoop.hive.ql.security.authorization.PrivilegeScope,ql/src/java/org/apache/hadoop/hive/ql/security/authorization/PrivilegeScope.java,893
46,org.apache.hadoop.hive.ql.plan.PartitionDesc,ql/src/java/org/apache/hadoop/hive/ql/plan/PartitionDesc.java,2077
47,org.apache.hadoop.hive.metastore.Warehouse,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/Warehouse.java,2441
