id,name,file,offset
0,hudson.tools.ToolInstaller,core/src/main/java/hudson/tools/ToolInstaller.java,1596
1,jenkins.scm.SCMCheckoutStrategy,core/src/main/java/jenkins/scm/SCMCheckoutStrategy.java,476
2,hudson.MarkupText,core/src/main/java/hudson/MarkupText.java,1341
3,hudson.model.Queue,core/src/main/java/hudson/model/Queue.java,5419
4,hudson.model.StringParameterValue,core/src/main/java/hudson/model/StringParameterValue.java,1515
5,hudson.cli.ListPluginsCommand,core/src/main/java/hudson/cli/ListPluginsCommand.java,1381
6,hudson.model.ViewGroupMixIn,core/src/main/java/hudson/model/ViewGroupMixIn.java,1446
7,hudson.util.MultipartFormDataParser,core/src/main/java/hudson/util/MultipartFormDataParser.java,1671
8,hudson.model.Label,core/src/main/java/hudson/model/Label.java,3125
9,hudson.PluginWrapper,core/src/main/java/hudson/PluginWrapper.java,3531
10,hudson.model.Computer,core/src/main/java/hudson/model/Computer.java,4785
11,hudson.tasks.BuildStepCompatibilityLayer,core/src/main/java/hudson/tasks/BuildStepCompatibilityLayer.java,1711
12,hudson.Launcher,core/src/main/java/hudson/Launcher.java,2581
13,hudson.security.csrf.CrumbIssuer,core/src/main/java/hudson/security/csrf/CrumbIssuer.java,1120
14,hudson.model.View,core/src/main/java/hudson/model/View.java,4817
15,hudson.slaves.SlaveComputer,core/src/main/java/hudson/slaves/SlaveComputer.java,3865
16,hudson.model.ChoiceParameterDefinition,core/src/main/java/hudson/model/ChoiceParameterDefinition.java,647
17,hudson.EnvVars,core/src/main/java/hudson/EnvVars.java,1891
18,hudson.security.Permission,core/src/main/java/hudson/security/Permission.java,1625
19,hudson.security.HudsonPrivateSecurityRealm,core/src/main/java/hudson/security/HudsonPrivateSecurityRealm.java,3878
20,hudson.model.ViewDescriptor,core/src/main/java/hudson/model/ViewDescriptor.java,1860
21,hudson.security.ACL,core/src/main/java/hudson/security/ACL.java,2231
22,jenkins.security.apitoken.LegacyApiTokenAdministrativeMonitor,core/src/main/java/jenkins/security/apitoken/LegacyApiTokenAdministrativeMonitor.java,1890
23,hudson.util.FileVisitor,core/src/main/java/hudson/util/FileVisitor.java,128
24,hudson.model.ParameterValue,core/src/main/java/hudson/model/ParameterValue.java,1931
25,hudson.scm.SCM,core/src/main/java/hudson/scm/SCM.java,2497
26,hudson.tools.DownloadFromUrlInstaller,core/src/main/java/hudson/tools/DownloadFromUrlInstaller.java,407
27,hudson.tasks.Maven,core/src/main/java/hudson/tasks/Maven.java,3273
28,hudson.slaves.JNLPLauncher,core/src/main/java/hudson/slaves/JNLPLauncher.java,1809
29,hudson.FilePath,core/src/main/java/hudson/FilePath.java,5602
30,hudson.scm.ChangeLogAnnotator,core/src/main/java/hudson/scm/ChangeLogAnnotator.java,1562
31,hudson.model.Node,core/src/main/java/hudson/model/Node.java,3000
32,hudson.model.DirectoryBrowserSupport,core/src/main/java/hudson/model/DirectoryBrowserSupport.java,2597
33,hudson.model.ComputerSet,core/src/main/java/hudson/model/ComputerSet.java,2631
34,jenkins.util.VirtualFile,core/src/main/java/jenkins/util/VirtualFile.java,2679
35,hudson.model.TopLevelItemDescriptor,core/src/main/java/hudson/model/TopLevelItemDescriptor.java,2016
36,hudson.tools.ToolInstallation,core/src/main/java/hudson/tools/ToolInstallation.java,1789
37,hudson.slaves.NodeDescriptor,core/src/main/java/hudson/slaves/NodeDescriptor.java,1785
38,hudson.model.User,core/src/main/java/hudson/model/User.java,3869
