id,name,file,offset,containing_class_id,target_ids
0,com.alipay.dw.jstorm.example.userdefined.kryo.PairSerializer.write,example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/userdefined/kryo/PairSerializer.java,1742,18,63
1,com.alipay.dw.jstorm.example.userdefined.kryo.TradeCustomerSerializer.write,example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/userdefined/kryo/TradeCustomerSerializer.java,2044,37,80
2,com.alibaba.jstorm.task.Task.mkTaskSending,jstorm-core/src/main/java/com/alibaba/jstorm/task/Task.java,10552,4,6
3,com.alibaba.jstorm.task.TkHbCacheTime.update,jstorm-core/src/main/java/com/alibaba/jstorm/task/TkHbCacheTime.java,1720,57,81
4,com.alibaba.jstorm.task.TaskBaseMetric.update,jstorm-core/src/main/java/com/alibaba/jstorm/task/TaskBaseMetric.java,4722,91,12
5,com.alibaba.jstorm.batch.impl.BatchSpoutTrigger.isCommitStatus,jstorm-core/src/main/java/com/alibaba/jstorm/batch/impl/BatchSpoutTrigger.java,5028,27,33
6,com.alibaba.jstorm.daemon.nimbus.ServiceHandler.checkTopologyActive,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/nimbus/ServiceHandler.java,62007,30,82
7,com.alibaba.jstorm.daemon.nimbus.TopologyAssign.getUnstoppedSlots,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/nimbus/TopologyAssign.java,27605,19,23
8,com.alibaba.jstorm.daemon.nimbus.TopologyAssign.getUnstoppedWorkers,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/nimbus/TopologyAssign.java,28556,19,23
9,com.alibaba.jstorm.daemon.worker.WorkerData.updateTaskIds,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/worker/WorkerData.java,25495,6,23
10,com.alibaba.jstorm.daemon.worker.WorkerData.updateTopology,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/worker/WorkerData.java,27294,6,39
11,com.alibaba.jstorm.daemon.worker.WorkerData.generateComponentToStreamToFields,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/worker/WorkerData.java,28078,6,39
12,com.alibaba.jstorm.daemon.supervisor.Supervisor.initShutdownHook,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/supervisor/Supervisor.java,7506,26,59
13,com.alibaba.jstorm.metric.TopologyMetricContext.addToMemCache,jstorm-core/src/main/java/com/alibaba/jstorm/metric/TopologyMetricContext.java,4009,8,13
14,com.alibaba.jstorm.metric.TopologyMetricContext.getMetricInfoByType,jstorm-core/src/main/java/com/alibaba/jstorm/metric/TopologyMetricContext.java,8658,8,29 52
15,com.alibaba.jstorm.metric.TopologyMetricContext.mergeMeters,jstorm-core/src/main/java/com/alibaba/jstorm/metric/TopologyMetricContext.java,11946,8,13
16,com.alibaba.jstorm.metric.TopologyMetricContext.sumMetricSnapshot,jstorm-core/src/main/java/com/alibaba/jstorm/metric/TopologyMetricContext.java,15235,8,67
17,com.alibaba.jstorm.window.WindowedBoltExecutor.createTriggerForWindow,jstorm-core/src/main/java/com/alibaba/jstorm/window/WindowedBoltExecutor.java,18697,87,64
18,com.alibaba.jstorm.window.WindowedBoltExecutor.mergeSessionWindows,jstorm-core/src/main/java/com/alibaba/jstorm/window/WindowedBoltExecutor.java,19514,87,64
19,com.alibaba.jstorm.schedule.default_assign.WorkerScheduler.putWorkerToSupervisor,jstorm-core/src/main/java/com/alibaba/jstorm/schedule/default_assign/WorkerScheduler.java,6747,34,78 76
20,com.alibaba.jstorm.schedule.default_assign.WorkerScheduler.getRightWorkers,jstorm-core/src/main/java/com/alibaba/jstorm/schedule/default_assign/WorkerScheduler.java,10415,34,14
21,com.alibaba.jstorm.schedule.default_assign.WorkerScheduler.checkUserDefineWorkers,jstorm-core/src/main/java/com/alibaba/jstorm/schedule/default_assign/WorkerScheduler.java,13402,34,14
