id,name,file,offset,original_class_id,target_class_id
0,com.alipay.dw.jstorm.example.sequence.bean.Pair.write,example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/sequence/bean/Pair.java,1669,18,63
1,com.alipay.dw.jstorm.example.sequence.bean.TradeCustomer.write,example/sequence-split-merge/src/main/java/com/alipay/dw/jstorm/example/sequence/bean/TradeCustomer.java,2331,37,80
2,com.alibaba.jstorm.daemon.worker.WorkerData.mkTaskSending,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/worker/WorkerData.java,31238,4,6
3,backtype.storm.generated.TaskHeartbeat.update,jstorm-core/src/main/java/backtype/storm/generated/TaskHeartbeat.java,3101,57,81
4,com.alibaba.jstorm.metric.MetricType.update,jstorm-core/src/main/java/com/alibaba/jstorm/metric/MetricType.java,1955,91,12
5,com.alibaba.jstorm.batch.util.BatchStatus.isCommitStatus,jstorm-core/src/main/java/com/alibaba/jstorm/batch/util/BatchStatus.java,1465,27,33
6,com.alibaba.jstorm.daemon.nimbus.NimbusData.checkTopologyActive,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/nimbus/NimbusData.java,14634,30,82
7,com.alibaba.jstorm.schedule.Assignment.getUnstoppedSlots,jstorm-core/src/main/java/com/alibaba/jstorm/schedule/Assignment.java,1644,19,23
12,com.alibaba.jstorm.daemon.supervisor.SupervisorManger.initShutdownHook,jstorm-core/src/main/java/com/alibaba/jstorm/daemon/supervisor/SupervisorManger.java,9652,26,59
13,backtype.storm.generated.MetricInfo.addToMemCache,jstorm-core/src/main/java/backtype/storm/generated/MetricInfo.java,2884,8,13
17,com.alibaba.jstorm.window.TimeWindow.createTriggerForWindow,jstorm-core/src/main/java/com/alibaba/jstorm/window/TimeWindow.java,2647,87,64
19,com.alibaba.jstorm.schedule.default_assign.ResourceWorkerSlot.putWorkerToSupervisor,jstorm-core/src/main/java/com/alibaba/jstorm/schedule/default_assign/ResourceWorkerSlot.java,4931,34,78
26,com.alibaba.jstorm.schedule.default_assign.DefaultTopologyAssignContext.getNeedAssignTasks,jstorm-core/src/main/java/com/alibaba/jstorm/schedule/default_assign/DefaultTopologyAssignContext.java,7867,61,14
28,backtype.storm.generated.SettableBlobMeta.createBlob,jstorm-core/src/main/java/backtype/storm/generated/SettableBlobMeta.java,2999,74,54
30,backtype.storm.nimbus.NimbusInfo.checkIfStateContainsCurrentNimbusHost,jstorm-core/src/main/java/backtype/storm/nimbus/NimbusInfo.java,3466,28,44
31,com.alibaba.jstorm.container.cgroup.Device.makeContext,jstorm-core/src/main/java/com/alibaba/jstorm/container/cgroup/Device.java,2078,22,46
32,com.alibaba.jstorm.container.SubSystemType.subSystemMounted,jstorm-core/src/main/java/com/alibaba/jstorm/container/SubSystemType.java,1764,41,25
33,backtype.storm.task.TopologyContext.componentToComponentTasks,jstorm-core/src/main/java/backtype/storm/task/TopologyContext.java,16429,66,16
34,storm.trident.graph.Group.outgoingGroups,jstorm-core/src/main/java/storm/trident/graph/Group.java,3236,51,83
36,backtype.storm.tuple.Fields.aggregate,jstorm-core/src/main/java/backtype/storm/tuple/Fields.java,3133,71,40
46,backtype.storm.multilang.BoltMsg.writeBoltMsg,jstorm-core/src/main/java/backtype/storm/multilang/BoltMsg.java,2235,35,89
48,backtype.storm.security.auth.ReqContext.getUserFromContext,jstorm-core/src/main/java/backtype/storm/security/auth/ReqContext.java,3998,92,7
51,backtype.storm.generated.JavaObjectArg.add_to_args_list,jstorm-core/src/main/java/backtype/storm/generated/JavaObjectArg.java,3237,55,42
52,backtype.storm.generated.ErrorInfo.add_to_errors,jstorm-core/src/main/java/backtype/storm/generated/ErrorInfo.java,3461,15,9
53,backtype.storm.generated.ComponentSummary.add_to_components,jstorm-core/src/main/java/backtype/storm/generated/ComponentSummary.java,3697,62,88
55,backtype.storm.generated.NimbusStat.add_to_nimbusSlaves,jstorm-core/src/main/java/backtype/storm/generated/NimbusStat.java,3016,53,73
56,backtype.storm.generated.SpoutSpec.put_to_spouts,jstorm-core/src/main/java/backtype/storm/generated/SpoutSpec.java,3038,39,0
59,backtype.storm.generated.TaskComponent.add_to_tasks,jstorm-core/src/main/java/backtype/storm/generated/TaskComponent.java,3034,24,86
60,backtype.storm.generated.SupervisorSummary.add_to_supervisors,jstorm-core/src/main/java/backtype/storm/generated/SupervisorSummary.java,4617,1,69
62,backtype.storm.generated.ThriftSerializedObject.put_to_serialized_parts,jstorm-core/src/main/java/backtype/storm/generated/ThriftSerializedObject.java,3085,10,84
63,backtype.storm.generated.GlobalStreamId.put_to_inputs,jstorm-core/src/main/java/backtype/storm/generated/GlobalStreamId.java,3060,17,90
69,backtype.storm.scheduler.WorkerSlot.validateSlot,jstorm-core/src/main/java/backtype/storm/scheduler/WorkerSlot.java,2886,3,36
70,backtype.storm.scheduler.Topologies.needsSchedulingTopologies,jstorm-core/src/main/java/backtype/storm/scheduler/Topologies.java,1950,48,49
81,com.alibaba.jstorm.yarn.appmaster.JstormMaster.Start,jstorm-on-yarn/src/main/java/com/alibaba/jstorm/yarn/appmaster/JstormMaster.java,24386,56,68
82,com.alibaba.jstorm.kafka.KafkaSpoutConfig.newCurator,jstorm-utility/jstorm-kafka/src/main/java/com/alibaba/jstorm/kafka/KafkaSpoutConfig.java,5125,58,60
