id,name,file,offset,original_class_id,target_class_id
0,megamek.client.ui.swing.widget.PMMultiLineLabel.addOptionsToList,megamek/src/megamek/client/ui/swing/widget/PMMultiLineLabel.java,1777,44,63
1,megamek.common.Coords.drawHexSpritesForHex,megamek/src/megamek/common/Coords.java,15439,91,18
6,megamek.common.Mounted.formatBayWeapon,megamek/src/megamek/common/Mounted.java,60466,90,47
8,megamek.client.Client.deleteAllUnits,megamek/src/megamek/client/Client.java,5739,69,104
11,megamek.common.Entity.drawHeat,megamek/src/megamek/common/Entity.java,6574,17,25
19,megamek.common.EquipmentType.matchUnitType,megamek/src/megamek/common/EquipmentType.java,42086,73,56
20,megamek.common.MechSummary.getNetworkMask,megamek/src/megamek/common/MechSummary.java,15605,60,0
21,megamek.client.ratgenerator.MissionRole.createMissionRoleCheck,megamek/src/megamek/client/ratgenerator/MissionRole.java,17533,88,19
22,megamek.common.logging.LogLevel.setVerbosity,megamek/src/megamek/common/logging/LogLevel.java,2564,3,65
38,megamek.common.MovePath.isTargetUnderFlightPath,megamek/src/megamek/common/MovePath.java,1832,101,68
51,megamek.client.bot.princess.PhysicalAttackType.buildAction,megamek/src/megamek/client/bot/princess/PhysicalAttackType.java,1273,71,10
54,megamek.common.MoveStep.calcWaterHazard,megamek/src/megamek/common/MoveStep.java,147531,40,79
58,megamek.client.bot.CEntity.attackUtility,megamek/src/megamek/client/bot/CEntity.java,1698,31,50
60,megamek.client.bot.BotClient.shouldBotAcknowledgeDefeat,megamek/src/megamek/client/bot/BotClient.java,3515,34,87
74,megamek.client.ratgenerator.ForceDescriptor.getCoRankOther,megamek/src/megamek/client/ratgenerator/ForceDescriptor.java,68520,81,59
76,megamek.client.ratgenerator.AvailabilityRating.calcAvailability,megamek/src/megamek/client/ratgenerator/AvailabilityRating.java,6083,14,98
78,megamek.common.net.Packet.marshall,megamek/src/megamek/common/net/Packet.java,8229,96,100
88,megamek.common.Mech.decodeArmorAndInternals,megamek/src/megamek/common/Mech.java,323366,102,37
89,megamek.common.actions.WeaponAttackAction.checkAmmo,megamek/src/megamek/common/actions/WeaponAttackAction.java,208131,92,72
92,megamek.common.AmmoType.getCritMod,megamek/src/megamek/common/AmmoType.java,654341,67,58
101,megamek.common.MiscType.calcMiscCrits,megamek/src/megamek/common/MiscType.java,568599,75,80
102,megamek.common.Protomech.getMinimumWalkMP,megamek/src/megamek/common/Protomech.java,80254,36,38
108,megamek.common.EntityFluff.formatSystemFluff,megamek/src/megamek/common/EntityFluff.java,1101,105,26
164,megamek.common.LosEffects.adjustRange,megamek/src/megamek/common/LosEffects.java,979,106,94
184,megamek.common.PilotingRollData.addQuadPilotingBonus,megamek/src/megamek/common/PilotingRollData.java,1650,103,20
190,megamek.common.EntityMovementMode.getConversionModeFor,megamek/src/megamek/common/EntityMovementMode.java,2205,24,66
200,megamek.common.TurnVectors.checkTurnOrderStranded,megamek/src/megamek/common/TurnVectors.java,18148,6,45
259,megamek.server.SmokeCloud.driftSmokeDissipate,megamek/src/megamek/server/SmokeCloud.java,3347,82,95
