id,name,file,offset,containing_class_id,target_ids
0,com.navercorp.pinpoint.rpc.client.PinpointClientHandshaker.decode,rpc/src/main/java/com/navercorp/pinpoint/rpc/client/PinpointClientHandshaker.java,7372,103,83
1,com.navercorp.pinpoint.rpc.client.PinpointClientHandlerState.isReconnect,rpc/src/main/java/com/navercorp/pinpoint/rpc/client/PinpointClientHandlerState.java,5721,133,30
2,com.navercorp.pinpoint.rpc.common.SocketState.checkState,rpc/src/main/java/com/navercorp/pinpoint/rpc/common/SocketState.java,3763,62,30
3,com.navercorp.pinpoint.rpc.server.DefaultPinpointServer.getHandshakeResponseCode,rpc/src/main/java/com/navercorp/pinpoint/rpc/server/DefaultPinpointServer.java,20389,49,90
4,com.navercorp.pinpoint.rpc.stream.StreamChannelState.checkState,rpc/src/main/java/com/navercorp/pinpoint/rpc/stream/StreamChannelState.java,1717,98,125
5,com.navercorp.pinpoint.rpc.stream.StreamChannelState.assertState,rpc/src/main/java/com/navercorp/pinpoint/rpc/stream/StreamChannelState.java,1950,98,125
6,com.navercorp.pinpoint.rpc.stream.StreamChannelManager.handlePing,rpc/src/main/java/com/navercorp/pinpoint/rpc/stream/StreamChannelManager.java,7456,68,7
7,com.navercorp.pinpoint.web.vo.callstacks.RecordFactory.getParentId,web/src/main/java/com/navercorp/pinpoint/web/vo/callstacks/RecordFactory.java,7560,44,40
8,com.navercorp.pinpoint.web.dao.hbase.HbaseHostApplicationMapDao.createKey,web/src/main/java/com/navercorp/pinpoint/web/dao/hbase/HbaseHostApplicationMapDao.java,4773,71,14
9,com.navercorp.pinpoint.web.dao.hbase.HbaseApplicationTraceIndexDao.makeResponseTimeFilter,web/src/main/java/com/navercorp/pinpoint/web/dao/hbase/HbaseApplicationTraceIndexDao.java,13945,43,57
10,com.navercorp.pinpoint.web.view.LinkSerializer.writeAgentId,web/src/main/java/com/navercorp/pinpoint/web/view/LinkSerializer.java,3783,1,119
11,com.navercorp.pinpoint.web.view.LinkSerializer.writeWasToWasTargetRpcList,web/src/main/java/com/navercorp/pinpoint/web/view/LinkSerializer.java,4342,1,110
12,com.navercorp.pinpoint.web.view.LinkSerializer.writeTimeSeriesHistogram,web/src/main/java/com/navercorp/pinpoint/web/view/LinkSerializer.java,5061,1,110
13,com.navercorp.pinpoint.web.view.LinkSerializer.writeAgentHistogram,web/src/main/java/com/navercorp/pinpoint/web/view/LinkSerializer.java,5401,1,87
