id,name,file,offset
0,net.sourceforge.pmd.lang.java.ast.ASTClassOrInterfaceDeclaration,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTClassOrInterfaceDeclaration.java,365
1,net.sourceforge.pmd.RuleSets,pmd-core/src/main/java/net/sourceforge/pmd/RuleSets.java,381
2,net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclaration,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTLocalVariableDeclaration.java,279
3,net.sourceforge.pmd.lang.java.rule.errorprone.CloseResourceRule,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/rule/errorprone/CloseResourceRule.java,1809
4,net.sourceforge.pmd.lang.vm.ast.ASTStringLiteral,pmd-vm/src/main/java/net/sourceforge/pmd/lang/vm/ast/ASTStringLiteral.java,890
5,net.sourceforge.pmd.lang.java.ast.ASTAdditiveExpression,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTAdditiveExpression.java,210
6,net.sourceforge.pmd.util.fxdesigner.util.controls.ASTTreeItem,pmd-ui/src/main/java/net/sourceforge/pmd/util/fxdesigner/util/controls/ASTTreeItem.java,531
7,net.sourceforge.pmd.lang.java.rule.errorprone.SingletonClassReturningNewInstanceRule,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/rule/errorprone/SingletonClassReturningNewInstanceRule.java,830
8,net.sourceforge.pmd.lang.java.ast.ASTVariableDeclarator,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTVariableDeclarator.java,282
9,net.sourceforge.pmd.lang.apex.rule.performance.AvoidSoqlInLoopsRule,pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/rule/performance/AvoidSoqlInLoopsRule.java,619
10,net.sourceforge.pmd.cpd.Match,pmd-core/src/main/java/net/sourceforge/pmd/cpd/Match.java,261
11,net.sourceforge.pmd.lang.java.ast.ASTImportDeclaration,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTImportDeclaration.java,209
12,net.sourceforge.pmd.lang.LanguageVersion,pmd-core/src/main/java/net/sourceforge/pmd/lang/LanguageVersion.java,124
13,net.sourceforge.pmd.lang.java.ast.ASTName,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTName.java,258
14,net.sourceforge.pmd.lang.apex.ast.ASTMethodCallExpression,pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTMethodCallExpression.java,261
15,net.sourceforge.pmd.lang.java.ast.ASTEqualityExpression,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTEqualityExpression.java,210
16,net.sourceforge.pmd.lang.vf.ast.ASTText,pmd-visualforce/src/main/java/net/sourceforge/pmd/lang/vf/ast/ASTText.java,202
17,net.sourceforge.pmd.lang.java.rule.codestyle.MethodNamingConventionsRule,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/rule/codestyle/MethodNamingConventionsRule.java,912
