id,name,file,offset,original_class_id,target_class_id
0,net.sourceforge.pmd.util.fxdesigner.util.controls.ASTTreeItem.sideEffectParents,pmd-ui/src/main/java/net/sourceforge/pmd/util/fxdesigner/util/controls/ASTTreeItem.java,4449,66,6
1,net.sourceforge.pmd.lang.vm.ast.AbstractVmNode.adjTokenLineNums,pmd-vm/src/main/java/net/sourceforge/pmd/lang/vm/ast/AbstractVmNode.java,6192,4,87
3,net.sourceforge.pmd.lang.jsp.ast.ASTElExpression.elOutsideTaglib,pmd-jsp/src/main/java/net/sourceforge/pmd/lang/jsp/ast/ASTElExpression.java,664,109,28
4,net.sourceforge.pmd.lang.apex.ast.ASTMethodCallExpression.getType,pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTMethodCallExpression.java,1153,18,14
6,net.sourceforge.pmd.lang.apex.ast.ASTReturnStatement.getReturnType,pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTReturnStatement.java,586,105,37
8,net.sourceforge.pmd.lang.apex.ast.ASTMethod.isOverriddenMethod,pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTMethod.java,2076,81,50
12,net.sourceforge.pmd.lang.apex.ast.ASTSoqlExpression.parentNotReturn,pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTSoqlExpression.java,580,9,57
15,net.sourceforge.pmd.lang.apex.ast.ASTSoslExpression.parentNotReturn,pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTSoslExpression.java,580,106,102
18,net.sourceforge.pmd.lang.apex.ast.ASTModifierNode.isWebService,pmd-apex/src/main/java/net/sourceforge/pmd/lang/apex/ast/ASTModifierNode.java,1684,117,59
21,net.sourceforge.pmd.cpd.Match.setLabelFor,pmd-core/src/main/java/net/sourceforge/pmd/cpd/Match.java,3471,23,10
22,net.sourceforge.pmd.cpd.CPD.analyzeCode,pmd-core/src/main/java/net/sourceforge/pmd/cpd/CPD.java,6120,64,98
26,net.sourceforge.pmd.cpd.Tokens.processToken,pmd-core/src/main/java/net/sourceforge/pmd/cpd/Tokens.java,1056,111,79
27,net.sourceforge.pmd.cpd.TokenEntry.matchEnded,pmd-core/src/main/java/net/sourceforge/pmd/cpd/TokenEntry.java,1751,63,121
28,net.sourceforge.pmd.dcd.graph.ClassNode.ignore,pmd-core/src/main/java/net/sourceforge/pmd/dcd/graph/ClassNode.java,3694,47,43
29,net.sourceforge.pmd.lang.dfa.report.AbstractReportNode.equalsNodeInLevel,pmd-core/src/main/java/net/sourceforge/pmd/lang/dfa/report/AbstractReportNode.java,3237,124,100
30,net.sourceforge.pmd.lang.dfa.pathfinder.PathElement.addNode,pmd-core/src/main/java/net/sourceforge/pmd/lang/dfa/pathfinder/PathElement.java,638,80,56
31,net.sourceforge.pmd.Report.renderReports,pmd-core/src/main/java/net/sourceforge/pmd/Report.java,2880,19,46
32,net.sourceforge.pmd.RuleSet.createRuleSetCopy,pmd-core/src/main/java/net/sourceforge/pmd/RuleSet.java,3435,27,20
33,net.sourceforge.pmd.RuleContext.parse,pmd-core/src/main/java/net/sourceforge/pmd/RuleContext.java,8267,120,119
36,net.sourceforge.pmd.lang.java.symboltable.VariableNameDeclaration.initializedWhenDeclared,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/symboltable/VariableNameDeclaration.java,4409,97,70
38,net.sourceforge.pmd.lang.java.ast.ASTClassOrInterfaceDeclaration.isOkUsingLombok,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTClassOrInterfaceDeclaration.java,4180,69,0
39,net.sourceforge.pmd.lang.java.ast.ASTImportDeclaration.isAllowedClass,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTImportDeclaration.java,4570,72,11
40,net.sourceforge.pmd.lang.java.ast.ASTMethodDeclaration.isMethodType,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTMethodDeclaration.java,4414,58,73
42,net.sourceforge.pmd.lang.java.ast.ASTName.isParentSignatureDeclaration,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTName.java,948,89,13
43,net.sourceforge.pmd.lang.java.ast.ASTType.isBooleanType,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTType.java,1869,21,123
44,net.sourceforge.pmd.lang.java.ast.ASTCatchStatement.newEquivClass,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTCatchStatement.java,2602,65,29
46,net.sourceforge.pmd.lang.java.ast.ASTConstructorDeclaration.hasDefaultConstructorInvocation,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTConstructorDeclaration.java,1570,49,48
50,net.sourceforge.pmd.lang.java.ast.ASTReturnStatement.isMethodCall,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTReturnStatement.java,708,74,53
52,net.sourceforge.pmd.lang.java.ast.AbstractJavaTypeNode.isJavaLangImplicit,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/AbstractJavaTypeNode.java,1266,108,122
53,net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclaration.hasNullInitializer,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTLocalVariableDeclaration.java,4598,3,2
56,net.sourceforge.pmd.lang.java.ast.ASTStatementExpression.isAssignmentToFinalField,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTStatementExpression.java,765,68,44
58,net.sourceforge.pmd.lang.java.ast.ASTEqualityExpression.findNullCompareExpression,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTEqualityExpression.java,1435,118,15
59,net.sourceforge.pmd.lang.java.ast.ASTPrimaryExpression.getBadPrefixOrNull,pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/ASTPrimaryExpression.java,732,112,22
