id,name,file,offset
0,com.yahoo.vespa.clustercontroller.core.StateChangeHandler,clustercontroller-core\src\main\java\com\yahoo\vespa\clustercontroller\core\StateChangeHandler.java,529
1,com.yahoo.docproc.DocumentProcessor,docproc\src\main\java\com\yahoo\docproc\DocumentProcessor.java,371
2,com.yahoo.vespa.model.AbstractService,config-model\src\main\java\com\yahoo\vespa\model\AbstractService.java,736
3,com.yahoo.searchdefinition.processing.FieldSetSettings,config-model\src\main\java\com\yahoo\searchdefinition\processing\FieldSetSettings.java,659
4,com.yahoo.searchdefinition.RankProfileRegistry,config-model\src\main\java\com\yahoo\searchdefinition\RankProfileRegistry.java,343
5,com.yahoo.jdisc.http.filter.DiscFilterResponse,jdisc_http_service\src\main\java\com\yahoo\jdisc\http\filter\DiscFilterResponse.java,505
6,com.yahoo.vespa.model.application.validation.RankingConstantsValidator,config-model\src\main\java\com\yahoo\vespa\model\application\validation\RankingConstantsValidator.java,734
7,com.yahoo.searchlib.rankingexpression.rule.ArithmeticNode,searchlib\src\main\java\com\yahoo\searchlib\rankingexpression\rule\ArithmeticNode.java,661
8,com.yahoo.searchlib.expression.StringBucketResultNodeVector,searchlib\src\main\java\com\yahoo\searchlib\expression\StringBucketResultNodeVector.java,278
9,com.yahoo.vespa.hosted.provision.Node,node-repository\src\main\java\com\yahoo\vespa\hosted\provision\Node.java,878
10,com.yahoo.search.yql.FieldFilter,container-search\src\main\java\com\yahoo\search\yql\FieldFilter.java,654
11,com.yahoo.vespa.config.proxy.ProxyServer,config-proxy\src\main\java\com\yahoo\vespa\config\proxy\ProxyServer.java,1180
12,com.yahoo.vespa.model.builder.xml.dom.DomAdminBuilderBase,config-model\src\main\java\com\yahoo\vespa\model\builder\xml\dom\DomAdminBuilderBase.java,1373
13,com.yahoo.vespa.hosted.controller.deployment.LockedStep,controller-server\src\main\java\com\yahoo\vespa\hosted\controller\deployment\LockedStep.java,212
14,com.yahoo.search.intent.model.IntentModel,container-search\src\main\java\com\yahoo\search\intent\model\IntentModel.java,315
15,com.yahoo.prelude.semantics.rule.TermProduction,container-search\src\main\java\com\yahoo\prelude\semantics\rule\TermProduction.java,384
