id,name,file,offset,containing_class_id,target_ids
0,com.yahoo.jrt.tool.RpcInvoker.getArgument,jrt\src\com\yahoo\jrt\tool\RpcInvoker.java,784,293,315
1,com.yahoo.jrt.Supervisor.invokeBatch,jrt\src\com\yahoo\jrt\Supervisor.java,5718,310,352 315
2,com.yahoo.docproc.Call.configDocUpd,docproc\src\main\java\com\yahoo\docproc\Call.java,3769,374,1
3,com.yahoo.docproc.Call.unwrapSchemaMapping,docproc\src\main\java\com\yahoo\docproc\Call.java,4750,374,269
4,com.yahoo.docproc.CallStack.remove,docproc\src\main\java\com\yahoo\docproc\CallStack.java,8875,69,374
5,com.yahoo.docproc.CallStack.contains,docproc\src\main\java\com\yahoo\docproc\CallStack.java,9337,69,374
6,com.yahoo.docproc.DocprocExecutor.processUntilDone,docproc\src\main\java\com\yahoo\docproc\DocprocExecutor.java,5951,246,269
7,com.yahoo.document.json.readers.VespaJsonDocumentReader.readPut,document\src\main\java\com\yahoo\document\json\readers\VespaJsonDocumentReader.java,4235,370,197 262
8,com.yahoo.document.json.readers.VespaJsonDocumentReader.readAssignFieldPathUpdate,document\src\main\java\com\yahoo\document\json\readers\VespaJsonDocumentReader.java,8411,370,149 197
9,com.yahoo.document.json.readers.VespaJsonDocumentReader.readAddFieldPathUpdate,document\src\main\java\com\yahoo\document\json\readers\VespaJsonDocumentReader.java,8857,370,149 197
10,com.yahoo.document.json.readers.VespaJsonDocumentReader.readRemoveFieldPathUpdate,document\src\main\java\com\yahoo\document\json\readers\VespaJsonDocumentReader.java,9300,370,149 197
11,com.yahoo.document.json.readers.VespaJsonDocumentReader.readArithmeticFieldPathUpdate,document\src\main\java\com\yahoo\document\json\readers\VespaJsonDocumentReader.java,9551,370,149 197
12,com.yahoo.document.select.rule.LogicNode.pickOrdering,document\src\main\java\com\yahoo\document\select\rule\LogicNode.java,2842,266,369
13,com.yahoo.document.select.rule.DocumentNode.evaluate,document\src\main\java\com\yahoo\document\select\rule\DocumentNode.java,956,175,120
14,com.yahoo.document.select.rule.ComparisonNode.getOrdering,document\src\main\java\com\yahoo\document\select\rule\ComparisonNode.java,2542,216,335 290
15,com.yahoo.document.select.rule.ComparisonNode.compare,document\src\main\java\com\yahoo\document\select\rule\ComparisonNode.java,5256,216,347 412 290
16,com.yahoo.document.select.rule.ComparisonNode.compare,document\src\main\java\com\yahoo\document\select\rule\ComparisonNode.java,6143,216,347 335 290
17,com.yahoo.document.fieldset.FieldSetRepo.parseFieldCollection,document\src\main\java\com\yahoo\document\fieldset\FieldSetRepo.java,1204,413,99
18,com.yahoo.document.fieldset.FieldSetRepo.copyFields,document\src\main\java\com\yahoo\document\fieldset\FieldSetRepo.java,4000,413,159
19,com.yahoo.document.fieldset.FieldSetRepo.stripFields,document\src\main\java\com\yahoo\document\fieldset\FieldSetRepo.java,4500,413,159
20,com.yahoo.document.datatypes.Struct.assignFrom,document\src\main\java\com\yahoo\document\datatypes\Struct.java,5913,225,84
21,com.yahoo.document.annotation.SpanList.checkValidity,document\src\main\java\com\yahoo\document\annotation\SpanList.java,2046,161,173
22,com.yahoo.document.annotation.SpanTree.copySpan,document\src\main\java\com\yahoo\document\annotation\SpanTree.java,7617,255,173
23,com.yahoo.document.annotation.SpanTree.annotate,document\src\main\java\com\yahoo\document\annotation\SpanTree.java,18172,255,243 173
24,com.yahoo.document.annotation.SpanTree.annotate,document\src\main\java\com\yahoo\document\annotation\SpanTree.java,19966,255,173 186
25,com.yahoo.document.annotation.SpanTree.clearAnnotations,document\src\main\java\com\yahoo\document\annotation\SpanTree.java,21278,255,173
26,com.yahoo.document.annotation.SpanTree.clearAnnotationsRecursive,document\src\main\java\com\yahoo\document\annotation\SpanTree.java,21623,255,173
27,com.yahoo.document.annotation.AnnotationType.isValueCompatible,document\src\main\java\com\yahoo\document\annotation\AnnotationType.java,3427,186,243
28,com.yahoo.document.Field.validateId,document\src\main\java\com\yahoo\document\Field.java,5546,366,149
29,com.yahoo.document.serialization.VespaDocumentSerializer6.write,document\src\main\java\com\yahoo\document\serialization\VespaDocumentSerializer6.java,20626,382,148
30,com.yahoo.document.serialization.VespaDocumentSerializer6.write,document\src\main\java\com\yahoo\document\serialization\VespaDocumentSerializer6.java,20846,382,343
31,com.yahoo.document.serialization.VespaDocumentSerializer6.write,document\src\main\java\com\yahoo\document\serialization\VespaDocumentSerializer6.java,21496,382,144
32,com.yahoo.document.serialization.VespaDocumentDeserializer42.getValueUpdate,document\src\main\java\com\yahoo\document\serialization\VespaDocumentDeserializer42.java,23524,309,289
33,com.yahoo.document.DocumentType.addField,document\src\main\java\com\yahoo\document\DocumentType.java,5524,149,366
34,com.yahoo.document.DocumentType.addField,document\src\main\java\com\yahoo\document\DocumentType.java,5996,149,289
